row_label_raw,row_label_full,col_0,Tại ngày1.1.2020VND,TăngVND,Cần trừVND,GiảmVND,Tại ngày31.12.2020VND,numeric__Tại ngày1.1.2020VND,numeric__TăngVND,numeric__Cần trừVND,numeric__GiảmVND,numeric__Tại ngày31.12.2020VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,,,,,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,224.475.057.335,5.060.972.407.282,(4.823.355.622.746),-,462.091.841.871,224475057335.0,5060972407282.0,-4823355622746.0,,462091841871.0
Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,,,,,
Nội địa,Thuế GTGT > Nội địa,Nội địa,114.291.157.230,5.768.240.212.171,(4.823.355.622.746),(988.385.294.253),70.790.452.402,114291157230.0,5768240212171.0,-4823355622746.0,-988385294253.0,70790452402.0
Nhập khẩu,Thuế GTGT > Nhập khẩu,Nhập khẩu,(4.417.560.000),959.464.623.030,-,(959.464.623.030),(4.417.560.000),-4417560000.0,959464623030.0,,-959464623030.0,-4417560000.0
Thuế nhập khẩu,Thuế GTGT > Thuế nhập khẩu,Thuế nhập khẩu,(27.428.515.001),316.313.438.586,-,(306.825.433.264),(17.940.509.679),-27428515001.0,316313438586.0,,-306825433264.0,-17940509679.0
Thuế TNDN,Thuế GTGT > Thuế TNDN,Thuế TNDN,706.467.590.069,1.714.082.112.929,-,(2.013.232.196.816),407.317.506.182,706467590069.0,1714082112929.0,,-2013232196816.0,407317506182.0
Thuế thu nhập cá nhân,Thuế GTGT > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,15.623.051.848,65.826.008.402,-,(66.074.970.593),15.374.089.657,15623051848.0,65826008402.0,,-66074970593.0,15374089657.0
Khác,Thuế GTGT > Khác,Khác,234.568.949,128.622.054.279,-,(127.364.704.161),1.491.919.067,234568949.0,128622054279.0,,-127364704161.0,1491919067.0
,,,804.770.293.095,8.952.548.449.397,(4.823.355.622.746),(4.461.347.222.117),472.615.897.629,804770293095.0,8952548449397.0,-4823355622746.0,-4461347222117.0,472615897629.0
