row_label_raw,row_label_full,col_0,Nâng cấptài sản thuêVND,Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,TổngVND,numeric__Nâng cấptài sản thuêVND,numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.322.721.945,4.685.676.671,15.281.844.144,28.694.744.885,100.984.987.645,52322721945.0,4685676671.0,15281844144.0,28694744885.0,100984987645.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,358.400.200,-,-,358.400.200,,358400200.0,,,358400200.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,4.792.475.582,4.569.079.738,194.381.978,9.555.937.298,,4792475582.0,4569079738.0,194381978.0,9555937298.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(19.466.337.742),(32.000.000),(1.080.521.596),(1.197.835.806),(21.776.695.144),-19466337742.0,-32000000.0,-1080521596.0,-1197835806.0,-21776695144.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(20.311.838.036),-,-,-,(20.311.838.036),-20311838036.0,,,,-20311838036.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.544.546.167,9.804.552.453,18.770.402.286,27.691.291.057,68.810.791.963,12544546167.0,9804552453.0,18770402286.0,27691291057.0,68810791963.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.322.721.945,3.457.435.236,5.735.352.202,22.120.846.117,83.636.355.500,52322721945.0,3457435236.0,5735352202.0,22120846117.0,83636355500.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,619.548.150,2.275.285.137,2.347.370.475,5.242.203.762,,619548150.0,2275285137.0,2347370475.0,5242203762.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(19.466.337.742),(32.000.000),(1.080.521.596),(980.197.080),(21.559.056.418),-19466337742.0,-32000000.0,-1080521596.0,-980197080.0,-21559056418.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(20.311.838.036),-,-,-,(20.311.838.036),-20311838036.0,,,,-20311838036.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.544.546.167,4.044.983.386,6.930.115.743,23.488.019.512,47.007.664.808,12544546167.0,4044983386.0,6930115743.0,23488019512.0,47007664808.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,1.228.241.435,9.546.491.942,6.573.898.768,17.348.632.145,,1228241435.0,9546491942.0,6573898768.0,17348632145.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,5.759.569.067,11.840.286.543,4.203.271.545,21.803.127.155,,5759569067.0,11840286543.0,4203271545.0,21803127155.0
