row_label_raw,row_label_full,Tại ngày cuối năm,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,668,-,,668.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,,668,-,,668.0,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,-,-,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,-,-,,,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,,-,-,,,
Công cụ tài chính phải sinh tiền tệ,- Giao dịch hoán đổi tiền tệ > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,668,-,,668.0,
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,,,,,,
,,,,31/12/2019,31/12/2018,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","6. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",,14.381.046,13.412.518,,14381046.0,13412518.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,6. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,,175.086,257.426,,175086.0,257426.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","6. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",,819,1.155,,819.0,1155.0
