row_label_raw,row_label_full,- Mệnh giả trái phiếu đặc biệt (1),800.857,1.132.830,numeric__800.857,numeric__1.132.830
- Dự phòng trái phiếu đặc biệt (2),- Dự phòng trái phiếu đặc biệt (2),- Dự phòng trái phiếu đặc biệt (2),(231.229),(251.021),-231229.0,-251021.0
Cộng,Cộng,Cộng,569.628,881.809,569628.0,881809.0
Tổng cộng,Tổng cộng,Tổng cộng,819.628,1.813.328,819628.0,1813328.0
