row_label_raw,row_label_full,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác_1,16. Tiền gửi và vay các TCTD khác_2,numeric__16. Tiền gửi và vay các TCTD khác_1,numeric__16. Tiền gửi và vay các TCTD khác_2
,,,31/12/2019,31/12/2018,,
16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,,
a. Tiền gửi không kỳ hạn,16.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,242.711,92.937,242711.0,92937.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,241.862,92.084,241862.0,92084.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,849,853,849.0,853.0
b. Tiền gửi có kỳ hạn,16.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,2.723.214,1.859.446,2723214.0,1859446.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,1.004.000,461.000,1004000.0,461000.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,1.719.214,1.398.446,1719214.0,1398446.0
Cộng,16.1. Tiền gửi của các TCTD khác > Cộng,Cộng,2.965.925,1.952.383,2965925.0,1952383.0
16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,,
- Bằng VND,16.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,1.610,1.783,1610.0,1783.0
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,16.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,1.610,1.783,1610.0,1783.0
- Bằng ngoại tệ,16.2. Vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,252.058,2.007,252058.0,2007.0
' + Ngân hàng Hàng Hải Việt Nam - Hội sở chính (**),16.2. Vay các TCTD khác > ' + Ngân hàng Hàng Hải Việt Nam - Hội sở chính (**),' + Ngân hàng Hàng Hải Việt Nam - Hội sở chính (**),196.945,-,196945.0,
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,16.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,1.822,2.007,1822.0,2007.0
' + Ngân hàng VCB- Hội sở chính (***),16.2. Vay các TCTD khác > ' + Ngân hàng VCB- Hội sở chính (***),' + Ngân hàng VCB- Hội sở chính (***),53.291,-,53291.0,
Cộng,16.2. Vay các TCTD khác > Cộng,Cộng,253.668,3.790,253668.0,3790.0
Tổng cộng tiền gửi và vay TCTD khác,16.2. Vay các TCTD khác > Tổng cộng tiền gửi và vay TCTD khác,Tổng cộng tiền gửi và vay TCTD khác,3.219.593,1.956.173,3219593.0,1956173.0
