row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,894.146,69.730,53.649,36.911,11.499,1.065.935,894146.0,69730.0,53649.0,36911.0,11499.0,1065935.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,1.843,-,1.685,684,4.212,,1843.0,,1685.0,684.0,4212.0
- Tăng khác,Nguyên giá TSCĐ hữu hình > - Tăng khác,- Tăng khác,68.738,-,-,,,68.738,68738.0,,,,,68738.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,16.242,2.786,80,280,19.388,,16242.0,2786.0,80.0,280.0,19388.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,93,6,31,38,168,,93.0,6.0,31.0,38.0,168.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(60),-,(36),(34),(130),,-60.0,,-36.0,-34.0,-130.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(16.242),(2.786),(80),(280),(19.388),,-16242.0,-2786.0,-80.0,-280.0,-19388.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(93),(6),(31),(38),(168),,-93.0,-6.0,-31.0,-38.0,-168.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,962.884,71.513,53.649,38.560,12.149,1.138.755,962884.0,71513.0,53649.0,38560.0,12149.0,1138755.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,218.713,62.305,43.509,24.448,9.715,358.690,218713.0,62305.0,43509.0,24448.0,9715.0,358690.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,36.992,2.305,2.695,3.229,661,45.882,36992.0,2305.0,2695.0,3229.0,661.0,45882.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,14.463,2.146,80,127,16.816,,14463.0,2146.0,80.0,127.0,16816.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,21,70,42,22,155,,21.0,70.0,42.0,22.0,155.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(60),-,(36),(24),(120),,-60.0,,-36.0,-24.0,-120.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(14.463),(2.146),(80),(127),(16.816),,-14463.0,-2146.0,-80.0,-127.0,-16816.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(21),(8),(104),(22),(155),,-21.0,-8.0,-104.0,-22.0,-155.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,255.705,64.550,46.266,27.579,10.352,404.452,255705.0,64550.0,46266.0,27579.0,10352.0,404452.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,675.433,7.425,10.140,12.463,1.784,707.245,675433.0,7425.0,10140.0,12463.0,1784.0,707245.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,707.179,6.963,7.383,10.981,1.797,734.303,707179.0,6963.0,7383.0,10981.0,1797.0,734303.0
