row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tình chất giao dịch,Phát sinh trong năm,Số dư tại 31/12/2019,numeric__Mối quan hệ,numeric__Tình chất giao dịch,numeric__Phát sinh trong năm,numeric__Số dư tại 31/12/2019
,,,,Tiền gửi thanh toán tại ngân hàng,-,609.872,,,,609872.0
Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty con,"Lãi phải trả tiền gửi, ký quỹ",6.306,-,,,6306.0,
Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty con,Tiền thuê nhà,3.164,-,,,3164.0,
Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty con,Góp vốn,-,612.503,,,,612503.0
Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty TNHH MTV Quản lý Nợ và Khai Thắc tài sản,Công ty con,Thu lợi nhuận,4.011,-,,,4011.0,
Hội đồng Quản trị và Ban Tổng Giám đốc,Hội đồng Quản trị và Ban Tổng Giám đốc,Hội đồng Quản trị và Ban Tổng Giám đốc,Hội đồng Quản trị và Ban Tổng Giám đốc,Lương + thường,7.248,-,,,7248.0,
