row_label_raw,row_label_full,4. Thành phần Hội đồng Quản trị,4. Thành phần Hội đồng Quản trị_1,Bổ nhiệm,Miễn nhiệm,numeric__4. Thành phần Hội đồng Quản trị_1,numeric__Bổ nhiệm,numeric__Miễn nhiệm
Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Ông Vũ Quang Lâm,Chủ tịch,04/10/2019,,,,
Ông Trần Thế Truyền,Ông Trần Thế Truyền,Ông Trần Thế Truyền,Thành viên,,04/10/2019,,,
Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Bà Trần Thị Việt Ánh,Thành viên,,04/10/2019,,,
Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Ông Trần Sỹ Đồng,Thành viên,,04/10/2019,,,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,04/10/2019,,,,
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên,04/10/2019,,,,
Ông Nguyễn Cao Trí,Ông Nguyễn Cao Trí,Ông Nguyễn Cao Trí,Thành viên,04/10/2019,,,,
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên,04/10/2019,,,,
Bá Phạm Thị Kim Lệ,Bá Phạm Thị Kim Lệ,Bá Phạm Thị Kim Lệ,Thành viên,04/10/2019,,,,
5. Ban kiểm soát,5. Ban kiểm soát,5. Ban kiểm soát,5. Ban kiểm soát,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Hữu Hạnh,Ông Nguyễn Hữu Hạnh,Ông Nguyễn Hữu Hạnh,Trường ban,,04/10/2019,,,
Bà Đặng Thị Kiều Phước,Bà Đặng Thị Kiều Phước,Bà Đặng Thị Kiều Phước,Trường ban,04/10/2019,,,,
Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Bà Vũ Quỳnh Mai,Kiểm soát viên,,,,,
Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Bà Nguyễn Đào Phương Linh,Kiểm soát viên,,,,,
6. Thành phần Ban Tổng giám đốc và kế toán trưởng,6. Thành phần Ban Tổng giám đốc và kế toán trưởng,6. Thành phần Ban Tổng giám đốc và kế toán trưởng,6. Thành phần Ban Tổng giám đốc và kế toán trưởng,Bổ nhiệm,,,,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Tổng Giám đốc,01/09/2019,,,,
Bà Vỏ Thị Nguyệt Minh,Bà Vỏ Thị Nguyệt Minh,Bà Vỏ Thị Nguyệt Minh,Phó Tổng giám đốc thường trực,,,,,
Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Phó Tổng giám đốc,,,,,
