row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp và bản nhà xưởng","Ngắn hạn > Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp và bản nhà xưởng","Phải thu từ cho thuê dài hạn đất, hạ tầng khu công nghiệp và bản nhà xưởng",2.262.494.898,59.226.407.997,2262494898.0,59226407997.0
"Phải thu liên quan đến hoạt động kinh doanh hạt nhưa, bao bi và dịch vụ khác","Ngắn hạn > Phải thu liên quan đến hoạt động kinh doanh hạt nhưa, bao bi và dịch vụ khác","Phải thu liên quan đến hoạt động kinh doanh hạt nhưa, bao bi và dịch vụ khác",590.769.108.548,667.482.198.482,590769108548.0,667482198482.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,593.031.603.446,726.708.606.479,593031603446.0,726708606479.0
Dự phòng phải thu ngắn hạn khó đòi,Ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(5.210.485.100),-,-5210485100.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng khác,Trong đó: > Phải thu ngắn hạn từ khách hàng khác,Phải thu ngắn hạn từ khách hàng khác,532.338.464.260,698.565.004.795,532338464260.0,698565004795.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 35),60.693.139.186,28.143.601.684,60693139186.0,28143601684.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ bên liên quan (*) (Thuyết minh số 35),Dài hạn > Phải thu từ bên liên quan (*) (Thuyết minh số 35),Phải thu từ bên liên quan (*) (Thuyết minh số 35),42.725.601.801,-,42725601801.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,42.725.601.801,-,42725601801.0,
