row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty An Phat International Inc,Công ty An Phat International Inc,Công ty An Phat International Inc,Công ty cùng lãnh đạo chủ chốt,Đặt cọc mua cổ phần,115.829.400.000,-,,,115829400000.0,
Công ty An Phat International Inc,Công ty An Phat International Inc,Công ty An Phat International Inc,Công ty cùng lãnh đạo chủ chốt,Phải thu khác,753.125.000,-,,,753125000.0,
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Phải thu khác,5.691.549.978,-,,,5691549978.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải thu lãi cho vay,8.295.782.954,2.760.655.490,,,8295782954.0,2760655490.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Phải thu khác,57.847.724,-,,,57847724.0,
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,Phải thu khác,3.422.250,-,,,3422250.0,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Phải thu khác,2.108.150,12.849.375.000,,,2108150.0,12849375000.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,6.600.841.502,-,,,6600841502.0,
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,5.025.442.885,-,,,5025442885.0,
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,451.578.176,-,,,451578176.0,
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,-,3.048.000.000,,,,3048000000.0
