row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND
,,,Quyền sử dụng đất,Phần mềm máy tính,Tổng công,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,94.014.058.865,811.750.000,94.825.808.865,94014058865.0,811750000.0,94825808865.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,805.806.000,805.806.000,,805806000.0,805806000.0
- Tăng do mua công ty con,Nguyên giá: > - Tăng do mua công ty con,- Tăng do mua công ty con,-,57.511.209,57.511.209,,57511209.0,57511209.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,94.014.058.865,1.675.067.209,95.689.126.074,94014058865.0,1675067209.0,95689126074.0
Giá trị hao mòn lũy kê:,Giá trị hao mòn lũy kê:,Giá trị hao mòn lũy kê:,Giá trị hao mòn lũy kê:,Giá trị hao mòn lũy kê:,Giá trị hao mòn lũy kê:,,,
Số đầu năm,Giá trị hao mòn lũy kê: > Số đầu năm,Số đầu năm,12.501.206.331,373.733.947,12.874.940.278,12501206331.0,373733947.0,12874940278.0
- Hao mòn trong năm,Giá trị hao mòn lũy kê: > - Hao mòn trong năm,- Hao mòn trong năm,2.857.844.184,214.551.056,3.072.395.240,2857844184.0,214551056.0,3072395240.0
Số cuối năm,Giá trị hao mòn lũy kê: > Số cuối năm,Số cuối năm,15.359.050.515,588.285.003,15.947.335.518,15359050515.0,588285003.0,15947335518.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,81.512.852.534,438.016.053,81.950.868.587,81512852534.0,438016053.0,81950868587.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,78.655.008.350,1.086.782.206,79.741.790.556,78655008350.0,1086782206.0,79741790556.0
