row_label_raw,row_label_full,Másố,CHÍ TIÊU,Thuyếtminh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,28.1,7.438.249.657.913,9.278.251.727.409,,281.0,7438249657913.0,9278251727409.0
02,02,02,2. Các khoản giảm trừ doanh thu,28.1,(9.692.642.869),(20.178.446.735),,281.0,-9692642869.0,-20178446735.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,28.1,7.428.557.015.044,9.258.073.280.674,,281.0,7428557015044.0,9258073280674.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,29,(6.651.621.793.680),(8.215.933.902.107),,29.0,-6651621793680.0,-8215933902107.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,776.935.221.364,1.042.139.378.567,,,776935221364.0,1042139378567.0
21,21,21,6. Doanh thu hoạt động tài chính,28.2,168.671.082.125,179.675.456.151,,282.0,168671082125.0,179675456151.0
22,22,22,7. Chi phí tài chính,30,(228.577.022.279),(267.714.576.028),,30.0,-228577022279.0,-267714576028.0
23,23,23,Trong đó: Chi phí lãi vay (không bao gồm chi phí phát hành trái phiếu),,(201.246.469.116),(225.421.605.405),,,-201246469116.0,-225421605405.0
24,24,24,"8. Phản lãi(lỗ) trong công ty liên doanh, liên kết",17.1,16.704.296.145,(56.550.198),,171.0,16704296145.0,-56550198.0
25,25,25,9. Chi phí bán hàng,31,(255.844.520.030),(214.621.335.478),,31.0,-255844520030.0,-214621335478.0
26,26,26,10. Chi phí quản lý doanh nghiệp,31,(166.965.892.910),(149.020.821.435),,31.0,-166965892910.0,-149020821435.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,310.923.164.415,590.401.551.579,,,310923164415.0,590401551579.0
31,31,31,12. Thu nhập khác,32,15.725.066.538,9.238.136.088,,32.0,15725066538.0,9238136088.0
32,32,32,13. Chi phí khác,32,(7.899.714.407),(2.246.314.543),,32.0,-7899714407.0,-2246314543.0
40,40,40,14. Lợi nhuận khác,32,7.825.352.131,6.991.821.545,,32.0,7825352131.0,6991821545.0
50,50,50,15. Tổng lợi nhuận kê toàn trước thuế,,318.748.516.546,597.393.373.124,,,318748516546.0,597393373124.0
51,51,51,16. Chi phí thuế TNDN hiện hành,34.1,(35.806.612.917),(83.467.221.660),,341.0,-35806612917.0,-83467221660.0
52,52,52,17. Thu nhập/(chi phí) thuế TNDN hoãn lại,34.3,230.907.050,(22.897.278.795),,343.0,230907050.0,-22897278795.0
50,50,50,18. Lợi nhuận sau thuế TNDN,,283.172.810.679,491.028.872.669,,,283172810679.0,491028872669.0
51,51,51,19. Lợi nhuận sau thuế của công ty mẹ,,262.240.818.737,460.465.909.779,,,262240818737.0,460465909779.0
52,52,52,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,20.931.991.942,30.562.962.890,,,20931991942.0,30562962890.0
