row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi được,Đơn vị tính: VND Số đầu năm > Giá gốc,Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi được,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi được,numeric__Đơn vị tính: VND Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND Số đầu năm > Giá trị có thể thu hồi được
Công ty TNHH Sản xuất Thương mại Xuất Nhập khẩu Phúc Hung Công ty TNHH Dalian,Công ty TNHH Sản xuất Thương mại Xuất Nhập khẩu Phúc Hung Công ty TNHH Dalian,Công ty TNHH Sản xuất Thương mại Xuất Nhập khẩu Phúc Hung Công ty TNHH Dalian,8.338.103.600,4.169.051.800,-,-,8338103600.0,4169051800.0,,
Hualaite Trading,Hualaite Trading,Hualaite Trading,1.243.920.600,-,-,-,1243920600.0,,,
Khác,Khác,Khác,6.333.733.300,-,-,-,6333733300.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.915.757.500,4.169.051.800,-,-,15915757500.0,4169051800.0,,
