row_label_raw,row_label_full,Công ty TNHH Sản Phẩm Giấy LEO (Việt Nam),Số cuối năm > 15.067.684.896,Đơn vị tính: VND > Số dấu năm > 49.349.917.464,numeric__Số cuối năm > 15.067.684.896,numeric__Đơn vị tính: VND > Số dấu năm > 49.349.917.464
Đối tượng khác,Đối tượng khác,Đối tượng khác,91.353.352.396,49.346.638.171,91353352396.0,49346638171.0
Trà trước từ bên liên quan (Thuyết minh số 35),Trà trước từ bên liên quan (Thuyết minh số 35),Trà trước từ bên liên quan (Thuyết minh số 35),102.847.814,-,102847814.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,106.523.885.106,98.696.555.635,106523885106.0,98696555635.0
