row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Mày móc, thiết bị",Bắt động sản đầu tưkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Mày móc, thiết bị",numeric__Bắt động sản đầu tưkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,175.801.488.156,39.246.746.894,13.488.249.954,228.536.485.004,175801488156.0,39246746894.0,13488249954.0,228536485004.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,204.298.874.292,37.394.769.497,7.252.331.772,248.945.975.561,204298874292.0,37394769497.0,7252331772.0,248945975561.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,380.100.362.448,76.641.516.391,20.740.581.726,477.482.460.565,380100362448.0,76641516391.0,20740581726.0,477482460565.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,2.987.066.178,2.017.633.956,715.674.906,5.720.375.040,2987066178.0,2017633956.0,715674906.0,5720375040.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,13.846.751.153,7.958.885.907,2.207.764.091,24.013.401.151,13846751153.0,7958885907.0,2207764091.0,24013401151.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,16.833.817.331,9.976.519.863,2.923.438.997,29.733.776.191,16833817331.0,9976519863.0,2923438997.0,29733776191.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,172.814.421.978,37.229.112.938,12.772.575.048,222.816.109.964,172814421978.0,37229112938.0,12772575048.0,222816109964.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,363.266.545.117,66.664.996.528,17.817.142.729,447.748.684.374,363266545117.0,66664996528.0,17817142729.0,447748684374.0
