row_label_raw,row_label_full,Mãsố,CHÍ TIÊU,Thuyếtminh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyếtminh,numeric__Năm nay,numeric__Năm trước
,,,III. LUU CHUYÊN TIÊN TỪ HOẠTDỔNG TÀI CHÌNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu,nhận góp vốn của chủ sở hữu",27.1,569.961.500.000,-,,271.0,569961500000.0,
33,33,33,Tiền thu từ đi vay,,6.929.547.159.005,8.003.695.529.793,,,6929547159005.0,8003695529793.0
34,34,34,Tiền trả nợ gốc vay,,(7.365.247.885.274),(7.889.053.617.076),,,-7365247885274.0,-7889053617076.0
36,36,36,"Cổ tức, lợi nhuận đã trả cho chủsở hữu",,(108.671.913.000),(97.331.913.000),,,-108671913000.0,-97331913000.0
40,40,40,Lưu chuyển tiền thuần từ hoạtđộng tài chính,,25.588.860.731,17.309.999.717,,,25588860731.0,17309999717.0
50,50,50,Lưu chuyển tiền thuần trong năm,,672.828.660.321,(353.201.209.661),,,672828660321.0,-353201209661.0
60,60,60,Tiền và tương đương tiền đầu năm,,291.674.680.985,645.474.843.425,,,291674680985.0,645474843425.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hốidoài quy đổi ngoại tệ,,(786.219.254),(598.952.779),,,-786219254.0,-598952779.0
70,70,70,Tiền và tương đương tiền cuối năm,5,963.717.122.052,291.674.680.985,,5.0,963717122052.0,291674680985.0
