row_label_raw,row_label_full,Bên vay,Số cuối năm(VND),Lãi suất(%/năm),Kỳ hạn trả gốc và lãi,numeric__Số cuối năm(VND),numeric__Lãi suất(%/năm),numeric__Kỳ hạn trả gốc và lãi
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
Công ty An Phát Holdings,Ngắn hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,3.300.000.000,"6,5%","Cho vay tín chấp, đảo hạn tháng 2 năm 2021.",3300000000.0,0.065,
Cho vay đối tượng khác,Ngắn hạn > Cho vay đối tượng khác,Cho vay đối tượng khác,39.343.890.561,5% - 10%,"Các khoản cho vay tín chấp, đảo hạn từ tháng 1 năm 2021 đến tháng 9 năm 2021.",39343890561.0,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,42.643.890.561,,,42643890561.0,,
Dải hạn,Dải hạn,Dải hạn,,,,,,
Công ty An Phát Holdings,Dải hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,105.105.000.000,"8% - 8,5%","Các khoản cho vay tín chấp, đảo hạn tháng 2 năm 2022.",105105000000.0,,
Công ty An Cường,Dải hạn > Công ty An Cường,Công ty An Cường,8.950.000.000,5%,"Các khoản cho vay không có tài sản đảm bảo, đảo hạn tháng 1 năm 2022.",8950000000.0,0.05,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,114.055.000.000,,,114055000000.0,,
