row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số dấu năm > Giá trị,Số dấu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số dấu năm > Giá trị,numeric__Số dấu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,540.258.279.918,540.258.279.918,602.790.245.484,602.790.245.484,540258279918.0,540258279918.0,602790245484.0,602790245484.0
Đối tác doanh nghiệp số 4,Ngắn hạn > Đối tác doanh nghiệp số 4,Đối tác doanh nghiệp số 4,115.332.703.782,115.332.703.782,175.376.050.090,175.376.050.090,115332703782.0,115332703782.0,175376050090.0,175376050090.0
Đối tác doanh nghiệp số 5,Ngắn hạn > Đối tác doanh nghiệp số 5,Đối tác doanh nghiệp số 5,40.298.804.932,40.298.804.932,66.354.855.891,66.354.855.891,40298804932.0,40298804932.0,66354855891.0,66354855891.0
Đối tác doanh nghiệp số 6,Ngắn hạn > Đối tác doanh nghiệp số 6,Đối tác doanh nghiệp số 6,95.589.734.382,95.589.734.382,62.985.181.781,62.985.181.781,95589734382.0,95589734382.0,62985181781.0,62985181781.0
Các đối tượng khác,Ngắn hạn > Các đối tượng khác,Các đối tượng khác,289.037.036.822,289.037.036.822,298.074.157.722,298.074.157.722,289037036822.0,289037036822.0,298074157722.0,298074157722.0
Phải trả các bên liên quan (Thuyết minh số 35),Ngắn hạn > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),2.221.236.369,2.221.236.369,1.654.926.592,1.654.926.592,2221236369.0,2221236369.0,1654926592.0,1654926592.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,542.479.516.287,542.479.516.287,604.445.172.076,604.445.172.076,542479516287.0,542479516287.0,604445172076.0,604445172076.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Phải trả người bán khác (*),Dải hạn > Phải trả người bán khác (*),Phải trả người bán khác (*),14.893.278.786,14.893.278.786,-,-,14893278786.0,14893278786.0,,
Phải trả các bên liên quan (Thuyết minh số 35),Dải hạn > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),10.360.718.467,10.360.718.467,-,-,10360718467.0,10360718467.0,,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,25.253.997.253,25.253.997.253,-,-,25253997253.0,25253997253.0,,
