row_label_raw,row_label_full,Bến liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,44.079.496.082,-,,,44079496082.0,
An Phạt International INC,An Phạt International INC,An Phạt International INC,Công ty cùng lãnh đạo chủ chốt,Bán hàng hóa,11.206.681.478,-,,,11206681478.0,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,"Bán hàng hóa, máy móc",2.259.130.526,26.227.603.244,,,2259130526.0,26227603244.0
Công ty An phát Holdings,Công ty An phát Holdings,Công ty An phát Holdings,Công ty mẹ,Bán hàng hóa,1.525.678.315,380.876.665,,,1525678315.0,380876665.0
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,Bán hàng hóa,673.574.000,-,,,673574000.0,
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Bán hàng hóa,496.889.992,575.278.326,,,496889992.0,575278326.0
Công ty TNHH MTV Cơ khí chính xác và chế tạo khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí chính xác và chế tạo khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí chính xác và chế tạo khuôn mẫu Việt Nam,Công ty cùng Tập đoàn,Bán hàng hóa,449.488.793,176.716.403,,,449488793.0,176716403.0
Công ty TNHH Linh kiến nhựa ô tô Vinfast - An Phát,Công ty TNHH Linh kiến nhựa ô tô Vinfast - An Phát,Công ty TNHH Linh kiến nhựa ô tô Vinfast - An Phát,Công ty cùng Tập đoàn,Bán hàng hóa,2.200.000,783.127.046,,,2200000.0,783127046.0
,,,,,60.693.139.186,28.143.601.684,,,60693139186.0,28143601684.0
Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),,,,
Công ty An Cường,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,42.725.601.801,-,,,42725601801.0,
,,,,,42.725.601.801,-,,,42725601801.0,
Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,,
An Phạt International INC,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > An Phạt International INC,An Phạt International INC,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa,76.443.952.790,-,,,76443952790.0,
Công ty An Trung,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Mua hàng hóa,7.957.494.058,8.419.724,,,7957494058.0,8419724.0
Công ty An Cường,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Mua hàng hóa,7.194.018.208,-,,,7194018208.0,
Ankor Bioplastics Co. Ltd,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Ankor Bioplastics Co. Ltd,Ankor Bioplastics Co. Ltd,Công ty cùng lãnh đạo chủ chốt,Mua hàng hóa,2.452.714.488,-,,,2452714488.0,
,,,,,94.048.179.544,8.419.724,,,94048179544.0,8419724.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
