row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công ty An Phát Holdings,Ngắn hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,3.300.000.000,1.000.000.000,3300000000.0,1000000000.0
Đối tác doanh nghiệp số 1,Ngắn hạn > Đối tác doanh nghiệp số 1,Đối tác doanh nghiệp số 1,-,457.492.960.000,,457492960000.0
Cho vay ngắn hạn đối tượng khác,Ngắn hạn > Cho vay ngắn hạn đối tượng khác,Cho vay ngắn hạn đối tượng khác,39.343.890.561,78.170.006.849,39343890561.0,78170006849.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,42.643.890.561,536.662.966.849,42643890561.0,536662966849.0
Dự phòng phải thu khó đòi,Ngắn hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(5.292.300.000),-,-5292300000.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu cho vay ngắn hạn khác,Trong đó: > Phải thu cho vay ngắn hạn khác,Phải thu cho vay ngắn hạn khác,34.051.590.561,526.918.260.000,34051590561.0,526918260000.0
Phải thu cho vay ngắn hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu cho vay ngắn hạn từ các bên liên quan (Thuyết minh số 35),Phải thu cho vay ngắn hạn từ các bên liên quan (Thuyết minh số 35),8.592.300.000,9.744.706.849,8592300000.0,9744706849.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Công ty An Phát Holdings,Dải hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,105.105.000.000,30.000.000.000,105105000000.0,30000000000.0
"Công ty Cổ phần Vật liệu Xây dựng Công nghệ cao An Cường (""Công ty An Cường"")","Dải hạn > Công ty Cổ phần Vật liệu Xây dựng Công nghệ cao An Cường (""Công ty An Cường"")","Công ty Cổ phần Vật liệu Xây dựng Công nghệ cao An Cường (""Công ty An Cường"")",8.950.000.000,26.700.000.000,8950000000.0,26700000000.0
Công ty An Vinh,Dải hạn > Công ty An Vinh,Công ty An Vinh,-,19.000.000.000,,19000000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,114.055.000.000,75.700.000.000,114055000000.0,75700000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu cho vay dài hạn khác,Trong đó: > Phải thu cho vay dài hạn khác,Phải thu cho vay dài hạn khác,-,45.700.000.000,,45700000000.0
Phải thu cho vay dài hạn từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu cho vay dài hạn từ các bên liên quan (Thuyết minh số 35),Phải thu cho vay dài hạn từ các bên liên quan (Thuyết minh số 35),114.055.000.000,30.000.000.000,114055000000.0,30000000000.0
