row_label_raw,row_label_full,col_0,Ngành nghề,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Ngành nghề,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Ngành nghề,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),,,,,
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Sản xuất plastic và cao su tổng hợp dạng nguyên sinh,"35,58%",48%,"11,74%",48%,,0.3558,0.48,0.1174,0.48
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,"Sản xuất, mua bán các sản phẩm nhựa công nghiệp và các loại khuôn mẫu, thiết bị chuyên đúng phục vụ công nghệ sản xuất sản phẩm nhựa và cung cấp cho các ngành công nghệ khác","20,24%","20,24%",-,-,,0.2024,0.2024,,
Công ty An Đông,Công ty An Đông,Công ty An Đông,"Kinh doanh xăng, dầu","13,34%",30%,-,-,,0.1334,0.3,,
