row_label_raw,row_label_full,col_0,Thuyêr minh,Số đầu năm > Giế trí,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng do mục công ty con,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số phát sinh trong năm > Chênh lệch tỷ giá,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số cuối năm_1,numeric__Thuyêr minh,numeric__Số đầu năm > Giế trí,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng do mục công ty con,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số phát sinh trong năm > Chênh lệch tỷ giá,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số cuối năm_1
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,,
Vay ngắn hàng,Vay ngắn hạn > Vay ngắn hàng,Vay ngắn hàng,25.1,2.394.538.574.603,2.394.538.574.603,89.617.353.817,6.841.647.326.226,(7.064.563.263.758),1.350.118.213,2.262.590.119.101,2.262.590.119.101,251.0,2394538574603.0,2394538574603.0,89617353817.0,6841647326226.0,-7064563263758.0,1350118213.0,2262590119101.0,2262590119101.0
Vay ngắn hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngắn hàng dài hạn đến hạn trả,Vay ngắn hàng dài hạn đến hạn trả,25.2,5.548.000.000,5.548.000.000,,184.835.286.900,(5.548.000.000),,184.835.286.900,184.835.286.900,252.0,5548000000.0,5548000000.0,,184835286900.0,-5548000000.0,,184835286900.0,184835286900.0
Vay đế lương khác,Vay ngắn hạn > Vay đế lương khác,Vay đế lương khác,,,,,21.460.142.000,(21.460.142.000),,,,,,,,21460142000.0,-21460142000.0,,,
Trái phiếu phát hành đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,25.4,,,,495.933.863.627,,,495.933.863.627,495.933.863.627,254.0,,,,495933863627.0,,,495933863627.0,495933863627.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.400.086.574.603,2.400.086.574.603,89.617.353.817,7.543.876.618.753,(7.091.571.395.758),1.350.118.213,2.943.359.269.628,2.943.359.269.628,,2400086574603.0,2400086574603.0,89617353817.0,7543876618753.0,-7091571395758.0,1350118213.0,2943359269628.0,2943359269628.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,,
Vay ngắn hàng,Vay dài hạn > Vay ngắn hàng,Vay ngắn hàng,25.2,790.511.624.554,790.511.624.554,120.000.000.000,12.401.852.737,(383.971.918.415),8.049.968,538.949.608.843,538.949.608.843,252.0,790511624554.0,790511624554.0,120000000000.0,12401852737.0,-383971918415.0,8049968.0,538949608843.0,538949608843.0
Vay cá nhân,Vay dài hạn > Vay cá nhân,Vay cá nhân,25.3,,,6.000.000.000,36.197.239.000,(6.000.000.000),,36.197.239.000,36.197.239.000,253.0,,,6000000000.0,36197239000.0,-6000000000.0,,36197239000.0,36197239000.0
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,25.4,580.998.499.995,580.998.499.995,,46.935.363.632,(585.933.863.627),,42.000.000.000,42.000.000.000,254.0,580998499995.0,580998499995.0,,46935363632.0,-585933863627.0,,42000000000.0,42000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.371.510.124.549,1.371.510.124.549,125.000.000.000,95.534.455.369,(975.905.782.043),8.049.968,617.146.847.843,617.146.847.843,,1371510124549.0,1371510124549.0,125000000000.0,95534455369.0,-975905782043.0,8049968.0,617146847843.0,617146847843.0
