row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá gốc,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá gốc,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,281.183.485.688,,401.957.045.935,,281183485688.0,,401957045935.0,
Hạ tầng khu công nghiệp thuộc các Dự án,Hạ tầng khu công nghiệp thuộc các Dự án,Hạ tầng khu công nghiệp thuộc các Dự án,,,,,,,,
Khu Công nghiệp,Hạ tầng khu công nghiệp thuộc các Dự án > Khu Công nghiệp,Khu Công nghiệp,286.153.699.917,,318.652.760.761,,286153699917.0,,318652760761.0,
Hàng hóa,Hạ tầng khu công nghiệp thuộc các Dự án > Hàng hóa,Hàng hóa,119.782.951.846,(391.978.205),156.780.119.963,(352.469.704),119782951846.0,-391978205.0,156780119963.0,-352469704.0
Hàng mua đang đi dưỡng,Hạ tầng khu công nghiệp thuộc các Dự án > Hàng mua đang đi dưỡng,Hàng mua đang đi dưỡng,83.494.214.027,,158.476.957.985,,83494214027.0,,158476957985.0,
Thành phẩm,Hạ tầng khu công nghiệp thuộc các Dự án > Thành phẩm,Thành phẩm,145.869.802.159,,146.848.010.514,,145869802159.0,,146848010514.0,
"Công cụ, dụng cụ","Hạ tầng khu công nghiệp thuộc các Dự án > Công cụ, dụng cụ","Công cụ, dụng cụ",25.502.849.184,,34.535.142.945,,25502849184.0,,34535142945.0,
Chi phí sản xuất kinh doanh dở dang,Hạ tầng khu công nghiệp thuộc các Dự án > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,4.970.734.580,,3.885.298.029,,4970734580.0,,3885298029.0,
Hàng gửi bán,Hạ tầng khu công nghiệp thuộc các Dự án > Hàng gửi bán,Hàng gửi bán,243.620.408,,720.100.229,,243620408.0,,720100229.0,
TỔNG CỘNG,Hạ tầng khu công nghiệp thuộc các Dự án > TỔNG CỘNG,TỔNG CỘNG,947.201.357.809,(391.978.205),1.221.855.436.361,(352.469.704),947201357809.0,-391978205.0,1221855436361.0,-352469704.0
