row_label_raw,row_label_full,col_0,col_1,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,Đơn vị tính: VND_7,numeric__col_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_7
,,,,Đoanh thu bánnăng<|vision_start|> Kosovođiv su,Mua hàng hóađiv su,Đoanh thu đếchính,Cho vay,Thu đến oto vay,Nhân góp với,Trá cód fúc,Chuyên nhượngđã phân,,,,,,,,,
Bến lichen quen,Bến lichen quen,Bến lichen quen,Bến quen nê,,,,,,,,,,,,,,,,,
Công ty An Phát Holdings,Bến lichen quen > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,2.063.323.282,1.511.490.000,12.385.896.927,205.805.000.000,135.780.000.000,420.000.000.000,40.059.794.699,58.100.000.000,,2063323282.0,1511490000.0,12385896927.0,205805000000.0,135780000000.0,420000000000.0,40059794699.0,58100000000.0
Công ty Nhựa Hà Nội,Bến lichen quen > Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty lẻn kết,20.164.084.545,2.793.600,,,,,,,,20164084545.0,2793600.0,,,,,,
Công ty An Trung,Bến lichen quen > Công ty An Trung,Công ty An Trung,Công ty cốngTập đoàn,5.265.554.026,60.726.807.563,2.545.432.519,40.000.000.000,49.744.706.849,,,,,5265554026.0,60726807563.0,2545432519.0,40000000000.0,49744706849.0,,,
Công ty TNHH Linkk+S/N rh trajectory - An Phát,Bến lichen quen > Công ty TNHH Linkk+S/N rh trajectory - An Phát,Công ty TNHH Linkk+S/N rh trajectory - An Phát,Công ty cốngTập đoàn,522.975.907,,,,,,,,,522975907.0,,,,,,,
Công ty TNHH MTVCo-khi chính sác vàchế táo khudm mâuVật Nam,Bến lichen quen > Công ty TNHH MTVCo-khi chính sác vàchế táo khudm mâuVật Nam,Công ty TNHH MTVCo-khi chính sác vàchế táo khudm mâuVật Nam,Công ty cốngTập đoàn,1.695.094.751,,,,,,,,,1695094751.0,,,,,,,
Công ty Cõ phânnhựa bao bi Vinh,Bến lichen quen > Công ty Cõ phânnhựa bao bi Vinh,Công ty Cõ phânnhựa bao bi Vinh,Công ty lẻn kếtđản Công ty mẹ,3.679.915.818,6.262.474.500,,,,,,,,3679915818.0,6262474500.0,,,,,,
Công ty SunriseAn Phát,Bến lichen quen > Công ty SunriseAn Phát,Công ty SunriseAn Phát,Công ty lẻn kết,11.417.105.829,64.544.961.782,,,,,,,,11417105829.0,64544961782.0,,,,,,
International INC,Bến lichen quen > International INC,International INC,Công ty cốngđản dào chúchất,51.397.254.492,345.946.092.226,,,,,,106.851.500.000,,51397254492.0,345946092226.0,,,,,,106851500000.0
Ông Phạm ÁnhDương,Ông Phạm ÁnhDương,Ông Phạm ÁnhDương,Chú tích HĐQT,,,,,,,,,,,,,,,,,
Ông Phạm HoàngVịt,Ông Phạm HoàngVịt,Ông Phạm HoàngVịt,Phó chú tíchHĐQT,,,,,,,,,,,,,,,,,
Ông Nguyễn LãTrung,Ông Nguyễn LãTrung,Ông Nguyễn LãTrung,Tổng Giàn dốc,,,,,,,,,,,,,,,,,
,,,,,,,,,,,725.107.167,,,,,,,,,725107167.0
