row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Công ty TNHH MTV Cơ khi chính xác và chế tạo khuẩn mẫu Việt Nam,Môi quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Công ty cùng Tập đoàn,Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Bán hàng hóa,Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > 102.847.814,Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > -,numeric__Môi quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Công ty cùng Tập đoàn,numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > Bán hàng hóa,numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > 102.847.814,numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20.2) > -
,,,,,102.847.814,-,,,102847814.0,
Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),Phải trả ngắn hạn khác (Thuyết minh số 24),,,,
An Phat International INC,Phải trả ngắn hạn khác (Thuyết minh số 24) > An Phat International INC,An Phat International INC,Công ty cùng lãnh đạo chủ chốt,Phải trả về lãi vay,1.126.137.575,-,,,1126137575.0,
Công ty An Trung,Phải trả ngắn hạn khác (Thuyết minh số 24) > Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Phải trả về lãi vay,54.285.000,-,,,54285000.0,
,,,,,1.180.422.575,-,,,1180422575.0,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,,,,
Công ty An Đông,Phải trả dài hạn khác > Công ty An Đông,Công ty An Đông,Công ty liên kết,Đặt coc thuê nhà xưởng,1.937.000.000,-,,,1937000000.0,
,,,,,1.937.000.000,-,,,1937000000.0,
