row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > Cổ tức đã công bố trong năm,Đơn vị tính: VND > Cổ tức đã công bố trong năm,numeric__Năm nay > Cổ tức đã công bố trong năm,numeric__Đơn vị tính: VND > Cổ tức đã công bố trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,211.199.968.000,85.599.988.000,211199968000.0,85599988000.0
Cổ tức cho năm 2019: VND 500/cổ phiếu,Cổ tức cho năm 2019: VND 500/cổ phiếu,Cổ tức cho năm 2019: VND 500/cổ phiếu,105.599.988.000,-,105599988000.0,
Cổ tức cho năm 2019: Trả cổ tức bảng cổ phiếu theo tỷ lệ 100:5,Cổ tức cho năm 2019: Trả cổ tức bảng cổ phiếu theo tỷ lệ 100:5,Cổ tức cho năm 2019: Trả cổ tức bảng cổ phiếu theo tỷ lệ 100:5,105.599.980.000,-,105599980000.0,
Cổ tức cho năm 2018: VND 500/cổ phiếu,Cổ tức cho năm 2018: VND 500/cổ phiếu,Cổ tức cho năm 2018: VND 500/cổ phiếu,-,85.599.988.000,,85599988000.0
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,-,-,,
Cổ tức đã trả,Cổ tức trên cổ phiếu ưu đãi > Cổ tức đã trả,Cổ tức đã trả,105.571.913.000,85.571.913.000,105571913000.0,85571913000.0
