row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,27.927.823.493,27927823493.0
Các khoản phải thu và ứng trước cho nhà cung cấp,Tài sản > Các khoản phải thu và ứng trước cho nhà cung cấp,Các khoản phải thu và ứng trước cho nhà cung cấp,16.731.357.705,16731357705.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,33.863.761.344,33863761344.0
Các tài sản ngắn hạn khác,Tài sản > Các tài sản ngắn hạn khác,Các tài sản ngắn hạn khác,111.210.133.153,111210133153.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,456.614.618.004,456614618004.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,57.511.209,57511209.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,95.788.318.291,95788318291.0
,,,742.193.523.199,742193523199.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ và vay,Nợ phải trả > Nợ và vay,Nợ và vay,286.617.353.817,286617353817.0
Phải trả người bản và người mua trả tiền trước,Nợ phải trả > Phải trả người bản và người mua trả tiền trước,Phải trả người bản và người mua trả tiền trước,44.428.516.401,44428516401.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,9.445.464.955,9445464955.0
,,,340.491.335.173,340491335173.0
Tổng tài sản thuần theo giả trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giả trị hợp lý,Tổng tài sản thuần theo giả trị hợp lý,401.702.188.026,401702188026.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(174.693.742.235),-174693742235.0
Lợi thế thương mại (Thuyết minh số 19),Nợ phải trả > Lợi thế thương mại (Thuyết minh số 19),Lợi thế thương mại (Thuyết minh số 19),15.991.554.209,15991554209.0
Tổng giả phí hợp nhất kinh doanh đã thanh toán,Nợ phải trả > Tổng giả phí hợp nhất kinh doanh đã thanh toán,Tổng giả phí hợp nhất kinh doanh đã thanh toán,243.000.000.000,243000000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,27.927.823.493,27927823493.0
Tiền chi để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chi để mua công ty con,Tiền chi để mua công ty con,(243.000.000.000),-243000000000.0
Tổng tiền thuần chi cho hợp nhất kinh doanh,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần chi cho hợp nhất kinh doanh,Tổng tiền thuần chi cho hợp nhất kinh doanh,(215.072.176.507),-215072176507.0
