row_label_raw,row_label_full,Másố,TÀI SẢN,Thuyếtminh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SẢN NGĂN HẠN,,4.496.050.828.524,4.971.363.590.401,,,4496050828524.0,4971363590401.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,963.717.122.052237.314.356.418726.402.765.634,291.674.680.985233.349.201.53558.325.479.450,,5.0,9.637171220522373e+35,2.9167468098523335e+34
111,111,111,1. Tiền,5,963.717.122.052237.314.356.418726.402.765.634,291.674.680.985233.349.201.53558.325.479.450,,5.0,9.637171220522373e+35,2.9167468098523335e+34
112,112,112,2. Các khoản tương đương tiền,5,963.717.122.052237.314.356.418726.402.765.634,291.674.680.985233.349.201.53558.325.479.450,,5.0,9.637171220522373e+35,2.9167468098523335e+34
120,120,120,II. Đầu tư tài chính ngắn hạn,6,758.600.000.000-,1.251.822.102.19259.670.020.000,,6.0,,1.2518221021925967e+23
121,121,121,1. Chứng khoán kinh doanh,6,758.600.000.000-,1.251.822.102.19259.670.020.000,,6.0,,1.2518221021925967e+23
123,123,123,2. Đầu tư nằm giữ đến ngày đáo hạn,6,758.600.000.000,1.192.152.082.192,,6.0,758600000000.0,1192152082192.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.669.170.204.812,2.079.278.885.563,,,1669170204812.0,2079278885563.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,7.1,593.031.603.446,726.708.606.479,,71.0,593031603446.0,726708606479.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7.2,790.942.957.31942.643.890.561,635.624.680.580,,72.0,7.909429573194264e+22,635624680580.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,790.942.957.31942.643.890.561,536.662.966.849,,8.0,7.909429573194264e+22,536662966849.0
136,136,136,4. Phải thu ngắn hạn khác,9,254.298.459.186,180.282.631.655,,9.0,254298459186.0,180282631655.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,7.8,(11.746.705.700),-,,78.0,-11746705700.0,
140,140,140,IV. Hàng tồn kho,11,946.809.379.604,1.221.502.966.657,,11.0,946809379604.0,1221502966657.0
141,141,141,1. Hàng tồn kho,11,947.201.357.809,1.221.855.436.361,,11.0,947201357809.0,1221855436361.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,11,(391.978.205),(352.469.704),,11.0,-391978205.0,-352469704.0
150,150,150,V. Tài sản ngắn hạn khác,,157.754.122.05632.032.873.971,127.084.955.00428.345.276.355,,,1.5775412205632033e+22,1.2708495500428345e+22
151,151,151,1. Chi phí trả trước ngắn hạn,18,157.754.122.05632.032.873.971,127.084.955.00428.345.276.355,,18.0,1.5775412205632033e+22,1.2708495500428345e+22
152,152,152,2. Thuế giả trị gia tăng được khấu trừ,18,124.628.269.153,97.404.425.420,,18.0,124628269153.0,97404425420.0
153,153,153,3. Thuế và các khoản phải thu Nhà nước,21,1.092.978.932,1.335.253.229,,21.0,1092978932.0,1335253229.0
