row_label_raw,row_label_full,col_0,Vốn cố phần đi phát hành,Thặng dư vốn cố phần,Vốn khác của chủ sở hữu,Chành lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cố động không kiểm soát,Tổng cộng,numeric__Vốn cố phần đi phát hành,numeric__Thặng dư vốn cố phần,numeric__Vốn khác của chủ sở hữu,numeric__Chành lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cố động không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.711.999.760.000,532.112.689.329,,(39.715.243),57.775.353.144,13.177.404.323,265.860.134.654,399.364.492.474,2.980.250.148.691,1711999760000.0,532112689329.0,,-39715243.0,57775353144.0,13177404323.0,265860134654.0,399364492474.0,2980250148691.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,,,,,,,400.465.909.779,30.562.962.880,491.028.872.889,,,,,,,400465909779.0,30562962880.0,491028872889.0
- Trích quỹ đầu tư phát triển,Năm trước > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,,,,,9.483.475.907,,(9.483.475.907),,,,,,,9483475907.0,,-9483475907.0,,
"- Trích quỹ khen thưởng, phúc lợi","Năm trước > - Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",,,,,,,(37.718.929.467),(3.804.822.482),(41.523.551.949),,,,,,,-37718929467.0,-3804822482.0,-41523551949.0
- Chia cổ tức,Năm trước > - Chia cổ tức,- Chia cổ tức,,,,,,,(85.599.988.000),(11.760.000.000),(97.359.988.000),,,,,,,-85599988000.0,-11760000000.0,-97359988000.0
- Chính lệch tỷ giá do chuyển đổi bảo cáo tai chính của công ty con cho mục đích hợp nhất,Năm trước > - Chính lệch tỷ giá do chuyển đổi bảo cáo tai chính của công ty con cho mục đích hợp nhất,- Chính lệch tỷ giá do chuyển đổi bảo cáo tai chính của công ty con cho mục đích hợp nhất,,,,(298.062.826),,,,,(298.062.826),,,,-298062826.0,,,,,-298062826.0
- Chuyển nhượng công ty con,Năm trước > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,,,,,,,1.119.496.804,(77.589.327.575),(76.469.830.771),,,,,,,1119496804.0,-77589327575.0,-76469830771.0
- Tăng(giảm) khác,Năm trước > - Tăng(giảm) khác,- Tăng(giảm) khác,,,,,,,8.042.744.923,(8.432.139.567),(389.394.844),,,,,,,8042744923.0,-8432139567.0,-389394844.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.711.999.760.000,532.112.689.329,,(337.778.069),67.258.859.051,13.177.404.323,602.685.892.796,328.341.365.740,3.255.238.193.170,1711999760000.0,532112689329.0,,-337778069.0,67258859051.0,13177404323.0,602685892796.0,328341365740.0,3255238193170.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.711.999.760.000,532.112.689.329,,(337.778.069),67.258.859.051,13.177.404.323,602.685.892.796,328.341.365.740,3.255.238.193.170,1711999760000.0,532112689329.0,,-337778069.0,67258859051.0,13177404323.0,602685892796.0,328341365740.0,3255238193170.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,,,,,,,262.240.818.737,20.931.991.842,283.172.810.679,,,,,,,262240818737.0,20931991842.0,283172810679.0
- Tăng vốn (iv),Năm nay > - Tăng vốn (iv),- Tăng vốn (iv),400.000.000.000,159.961.500.000,,,,,,10.000.000.000,569.961.500.000,400000000000.0,159961500000.0,,,,,,10000000000.0,569961500000.0
- Trích quỹ đầu tư phát triển (i),Năm nay > - Trích quỹ đầu tư phát triển (i),- Trích quỹ đầu tư phát triển (i),,,,,13.222.757.413,,(13.222.757.413),,,,,,,13222757413.0,,-13222757413.0,,
"- Trích quỹ khen thưởng, phúc lợi (ii)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (ii)","- Trích quỹ khen thưởng, phúc lợi (ii)",,,,,,,(37.785.467.359),(5.303.959.804),(43.089.427.163),,,,,,,-37785467359.0,-5303959804.0,-43089427163.0
- Chia cổ tức bằng cổ phiếu (iii),Năm nay > - Chia cổ tức bằng cổ phiếu (iii),- Chia cổ tức bằng cổ phiếu (iii),105.589.980.000,,,,,,(105.589.980.000),,,105589980000.0,,,,,,-105589980000.0,,
- Công ty con chia cổ tức bằng cổ phiếu (iii),Năm nay > - Công ty con chia cổ tức bằng cổ phiếu (iii),- Công ty con chia cổ tức bằng cổ phiếu (iii),,,26.544.930.000,,,,(28.544.930.000),,,,,26544930000.0,,,,-28544930000.0,,
- Chia cổ tức bằng bến (ii),Năm nay > - Chia cổ tức bằng bến (ii),- Chia cổ tức bằng bến (ii),,,,,,,(105.599.988.000),(3.100.000.000),(108.699.988.000),,,,,,,-105599988000.0,-3100000000.0,-108699988000.0
