row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Doanh thu bán hàng và cung cấp dịch vụ,Nhân nợ vay,Trả gốc vay,Cho vay,Thu tiền cho vay,Trả cổ tức,Tạm ông,Tiền thu từ bán công ty con,numeric__Môi quan hệ,numeric__Doanh thu bán hàng và cung cấp dịch vụ,numeric__Nhân nợ vay,numeric__Trả gốc vay,numeric__Cho vay,numeric__Thu tiền cho vay,numeric__Trả cổ tức,numeric__Tạm ông,numeric__Tiền thu từ bán công ty con
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,1.617.753.276,33.000.000.000,42.000.000.000,7.000.000.000,38.050.000.000,46.353.570.000,,80.000.000.000,,1617753276.0,33000000000.0,42000000000.0,7000000000.0,38050000000.0,46353570000.0,,80000000000.0
Công ty Nhưa Hà Nội,Công ty Nhưa Hà Nội,Công ty Nhưa Hà Nội,Công ty cứng Tập đoàn,94.409.239.007,,,,,,,,,94409239007.0,,,,,,,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cứng Tập đoàn,29.007.696.507,,,,,,,,,29007696507.0,,,,,,,
Công ty TNHH Linh kiến nhựa ở tố Vinfast - An Phát,Công ty TNHH Linh kiến nhựa ở tố Vinfast - An Phát,Công ty TNHH Linh kiến nhựa ở tố Vinfast - An Phát,Công ty cứng Tập đoàn,1.864.857.050,,,,,,,,,1864857050.0,,,,,,,
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch HĐQT,,,,,,,11.783.801.376,,,,,,,,,11783801376.0,
