row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",27.502.864.072,19.989.383.782,27502864072.0,19989383782.0
Chi phí trả trước khác,Ngắn hạn > Chi phí trả trước khác,Chi phí trả trước khác,4.530.009.899,8.355.892.573,4530009899.0,8355892573.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,32.032.873.971,28.345.276.355,32032873971.0,28345276355.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Quyền sử dụng đất có thời hạn (*),Dải hạn > Quyền sử dụng đất có thời hạn (*),Quyền sử dụng đất có thời hạn (*),205.582.313.366,129.873.312.977,205582313366.0,129873312977.0
"Công cụ, dụng cụ xuất dùng","Dải hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",27.889.412.491,29.728.993.763,27889412491.0,29728993763.0
Chiết khấu thanh toán,Dải hạn > Chiết khấu thanh toán,Chiết khấu thanh toán,9.406.076.329,12.159.074.281,9406076329.0,12159074281.0
Chi phí sửa chữa lớn,Dải hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,7.086.511.070,6.022.891.752,7086511070.0,6022891752.0
Chi phí trả trước dài hạn khác,Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,11.882.572.043,20.489.787.510,11882572043.0,20489787510.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,261.846.885.299,198.274.060.283,261846885299.0,198274060283.0
