row_label_raw,row_label_full,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_1,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_2,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_3,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_4,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_5,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_6,NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_7,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_1,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_2,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_3,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_4,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_5,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_6,numeric__NG TY CÓ PHẦN TẬP ĐOÀN C.E.O_7
"chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội","chi: Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, quận Nam Từ Liêm, thành phố Hà Nội",,,,,,,
,,,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch,Kinh doanh dịch vụ khách sạn và các dịch vụ liên quan,Hoạt động xây lắp,Hoạt động kinh doanh khác,Điều chính và loại trừ,Đơn vị tính: VND Tổng cộng,,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,575.963.489.187,48.367.838.956,636.824.283.256,-,46.780.602.244,-,1.307.936.213.643,575963489187.0,48367838956.0,636824283256.0,,46780602244.0,,1307936213643.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,4.814.346.650,6.301.799.703,258.822.654.573,130.019.772.111,(399.958.573.037),-,,4814346650.0,6301799703.0,258822654573.0,130019772111.0,-399958573037.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,575.963.489.187,53.182.185.606,643.126.082.959,258.822.654.573,176.800.374.355,(399.958.573.037),1.307.936.213.643,575963489187.0,53182185606.0,643126082959.0,258822654573.0,176800374355.0,-399958573037.0,1307936213643.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,,,,,,,
Khấu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả kinh doanh > Khấu hao và hao mòn (bao gồm lợi thế thương mại),Khấu hao và hao mòn (bao gồm lợi thế thương mại),4.850.960.330,4.994.899.812,66.154.312.369,6.384.508.645,28.213.308.755,-,110.597.989.911,4850960330.0,4994899812.0,66154312369.0,6384508645.0,28213308755.0,,110597989911.0
Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Kết quả kinh doanh > Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Thu nhập/(lỗ) thuần trước thuế theo bộ phận,251.085.802.232,(10.421.709.557),13.224.611.394,1.549.218.374,(58.518.061.150),(12.618.687.424),184.301.173.869,251085802232.0,-10421709557.0,13224611394.0,1549218374.0,-58518061150.0,-12618687424.0,184301173869.0
Thu nhập thuần không phân bổ,Kết quả kinh doanh > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,52.221.628.787,,,,,,,52221628787.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,4.243.698.927.621,28.712.214.323,2.294.267.795.171,511.903.525.118,378.934.307.059,(649.984.072.241),6.807.532.697.051,4243698927621.0,28712214323.0,2294267795171.0,511903525118.0,378934307059.0,-649984072241.0,6807532697051.0
