row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2024 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2024 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2024 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2024 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2024 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2024 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2024 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2024 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,106.211.113.259,33.343.000.000,86.370.789.532,28.313.675.867,106211113259.0,33343000000.0,86370789532.0,28313675867.0
Công ty CP Xây dựng và Thương mại Vạn Phát,Công ty CP Xây dựng và Thương mại Vạn Phát,Công ty CP Xây dựng và Thương mại Vạn Phát,12.478.919.558,-,12.478.919.558,3.743.675.867,12478919558.0,,12478919558.0,3743675867.0
Công ty TNHH Đầu tư và Phát triển Phạm Gia,Công ty TNHH Đầu tư và Phát triển Phạm Gia,Công ty TNHH Đầu tư và Phát triển Phạm Gia,16.500.000.000,8.910.000.000,13.200.000.000,9.240.000.000,16500000000.0,8910000000.0,13200000000.0,9240000000.0
Công ty TNHH Thương Mại và Kinh Doanh Nguyễn Gia,Công ty TNHH Thương Mại và Kinh Doanh Nguyễn Gia,Công ty TNHH Thương Mại và Kinh Doanh Nguyễn Gia,13.200.000.000,7.920.000.000,6.600.000.000,4.620.000.000,13200000000.0,7920000000.0,6600000000.0,4620000000.0
Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,14.240.940.000,-,14.240.940.000,-,14240940000.0,,14240940000.0,
Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,18.000.000.000,10.200.000.000,12.000.000.000,8.400.000.000,18000000000.0,10200000000.0,12000000000.0,8400000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,31.791.253.701,6.313.000.000,27.850.929.974,2.310.000.000,31791253701.0,6313000000.0,27850929974.0,2310000000.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,359.223.000,-,596.049.172,-,359223000.0,,596049172.0,
Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,340.000.000,-,340.000.000,-,340000000.0,,340000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,19.223.000,-,256.049.172,-,19223000.0,,256049172.0,
