row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhân hiệu, tên thương mại","Bản quyền, bằng sáng chế",TSCĐ khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,"numeric__Nhân hiệu, tên thương mại","numeric__Bản quyền, bằng sáng chế",numeric__TSCĐ khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2024,Nguyên giá > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,43.993.024.285,25.719.278.990,267.227.596,208.518.000,-,70.188.048.871,43993024285.0,25719278990.0,267227596.0,208518000.0,,70188048871.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.325.393.398,-,-,121.546.300,2.446.939.698,,2325393398.0,,,121546300.0,2446939698.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,3.218.492.175,-,-,-,-,3.218.492.175,3218492175.0,,,,,3218492175.0
Giảm do thoái vốn,Nguyên giá > Giảm do thoái vốn,Giảm do thoái vốn,-,(4.451.382.500),-,-,-,(4.451.382.500),,-4451382500.0,,,,-4451382500.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(65.342.000),-,-,-,(65.342.000),,-65342000.0,,,,-65342000.0
Số dư ngày 31/12/2024,Nguyên giá > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,47.211.516.460,23.527.947.888,267.227.596,208.518.000,121.546.300,71.336.756.244,47211516460.0,23527947888.0,267227596.0,208518000.0,121546300.0,71336756244.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2024,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,5.329.363.792,19.664.741.733,267.227.596,208.518.000,-,25.469.851.121,5329363792.0,19664741733.0,267227596.0,208518000.0,,25469851121.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,951.160.056,1.364.311.604,-,-,10.147.988,2.325.619.648,951160056.0,1364311604.0,,,10147988.0,2325619648.0
Giảm do thoái vốn,Giá trị hao mòn luỹ kế > Giảm do thoái vốn,Giảm do thoái vốn,-,(2.097.858.910),-,-,-,(2.097.858.910),,-2097858910.0,,,,-2097858910.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(65.342.000),-,-,-,(65.342.000),,-65342000.0,,,,-65342000.0
Số dư ngày 31/12/2024,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,6.280.523.848,18.865.852.427,267.227.596,208.518.000,10.147.988,25.632.269.859,6280523848.0,18865852427.0,267227596.0,208518000.0,10147988.0,25632269859.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2024,Giá trị còn lại > Tại ngày 01/01/2024,Tại ngày 01/01/2024,38.663.660.493,6.054.537.257,-,-,-,44.718.197.750,38663660493.0,6054537257.0,,,,44718197750.0
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,40.930.992.612,4.662.095.461,-,-,111.398.312,45.704.486.385,40930992612.0,4662095461.0,,,111398312.0,45704486385.0
