row_label_raw,row_label_full,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_1,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_2,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_3,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_4,Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_5,numeric__Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_1,numeric__Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_2,numeric__Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_3,numeric__Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_4,numeric__Vốn chủ sở hữuBăng đối chiếu biến động của vốn chủ sở hữu_5
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Vốn góp củachủ sở hữu,Thặng dư vốncổ phần,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Đơn vị tính: VNDCộng,,,,,
A,Chỉ tiêu > A,A,1,2,3,4,\( 5 = (1+2+3+4) \),1.0,2.0,3.0,4.0,
Số dư tại ngày 01/01/2023,Chỉ tiêu > Số dư tại ngày 01/01/2023,Số dư tại ngày 01/01/2023,2.573.399.850.000,-,522.641.547.554,452.655.285.326,3.548.696.682.880,2573399850000.0,,522641547554.0,452655285326.0,3548696682880.0
Tăng vốn trong năm (i),Chỉ tiêu > Tăng vốn trong năm (i),Tăng vốn trong năm (i),2.573.387.750.000,-,-,-,2.573.387.750.000,2573387750000.0,,,,2573387750000.0
Lãi trong năm,Chỉ tiêu > Lãi trong năm,Lãi trong năm,-,-,150.763.712.353,-,150.763.712.353,,,150763712353.0,,150763712353.0
Chi phí tăng vốn,Chỉ tiêu > Chi phí tăng vốn,Chi phí tăng vốn,-,(433.150.000),-,-,(433.150.000),,-433150000.0,,,-433150000.0
Tăng khác,Chỉ tiêu > Tăng khác,Tăng khác,-,-,7.094.901.787,-,7.094.901.787,,,7094901787.0,,7094901787.0
Lỗ trong năm,Chỉ tiêu > Lỗ trong năm,Lỗ trong năm,-,-,-,(29.565.514.957),(29.565.514.957),,,,-29565514957.0,-29565514957.0
Trích quỹ đầu tư phát triển,Chỉ tiêu > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,(13.582.343.995),-,(13.582.343.995),,,-13582343995.0,,-13582343995.0
"Trích quỹ khen thưởng, phúc lợi","Chỉ tiêu > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(27.164.687.990),-,(27.164.687.990),,,-27164687990.0,,-27164687990.0
Phân phối lợi nhuận tại Công ty con,Chỉ tiêu > Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,-,-,(56.114.821.236),(7.470.973.078),(63.585.794.314),,,-56114821236.0,-7470973078.0,-63585794314.0
Giảm khác,Chỉ tiêu > Giảm khác,Giảm khác,-,-,-,(117.739.598.549),(117.739.598.549),,,,-117739598549.0,-117739598549.0
Số dư tại ngày 31/12/2023,Chỉ tiêu > Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,5.146.787.600.000,(433.150.000),583.638.308.473,297.879.198.742,6.027.871.957.215,5146787600000.0,-433150000.0,583638308473.0,297879198742.0,6027871957215.0
Tăng vốn trong năm nay (ii),Chỉ tiêu > Tăng vốn trong năm nay (ii),Tăng vốn trong năm nay (ii),257.276.720.000,-,(257.276.720.000),-,-,257276720000.0,,-257276720000.0,,
Lãi trong năm,Chỉ tiêu > Lãi trong năm,Lãi trong năm,-,-,190.153.728.301,-,190.153.728.301,,,190153728301.0,,190153728301.0
Lỗ trong năm,Chỉ tiêu > Lỗ trong năm,Lỗ trong năm,-,-,-,(24.192.758.075),(24.192.758.075),,,,-24192758075.0,-24192758075.0
