row_label_raw,row_label_full,Chỉ tiêu,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Đơn vị tính: VND Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Đơn vị tính: VND Cộng
A,A,A,1,2,3,4,\( 5 = (1+2+3+4) \),1.0,2.0,3.0,4.0,
Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),,-,(5.302.191.193),,(5.302.191.193),,,-5302191193.0,,-5302191193.0
"Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)",,-,(10.604.382.386),,(10.604.382.386),,,-10604382386.0,,-10604382386.0
Tăng tỷ lệ sở hữu vào Công ty con (iv),Tăng tỷ lệ sở hữu vào Công ty con (iv),Tăng tỷ lệ sở hữu vào Công ty con (iv),,-,295.075.861,,295.075.861,,,295075861.0,,295075861.0
Thoái vốn tại Công ty con (v),Thoái vốn tại Công ty con (v),Thoái vốn tại Công ty con (v),,-,-,(35.452.893.580),(35.452.893.580),,,,-35452893580.0,-35452893580.0
Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,,-,(46.635.013.382),(14.732.386.885),(61.367.400.267),,,-46635013382.0,-14732386885.0,-61367400267.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,5.404.064.320.000,(433.150.000),454.268.805.674,223.501.160.202,6.081.401.135.876,5404064320000.0,-433150000.0,454268805674.0,223501160202.0,6081401135876.0
