row_label_raw,row_label_full,2. Thu nhập các thành viên quản lý khác và kế toán trường,2. Thu nhập các thành viên quản lý khác và kế toán trường_1,2.839.495.782,7.988.597.058,numeric__2. Thu nhập các thành viên quản lý khác và kế toán trường_1,numeric__2.839.495.782,numeric__7.988.597.058
Ông Đoàn Văn Bình,Ông Đoàn Văn Bình,Ông Đoàn Văn Bình,Chủ tịch HĐQT,2.009.471.662,5.999.356.065,,2009471662.0,5999356065.0
Bà Đỗ Thị Thom,Bà Đỗ Thị Thom,Bà Đỗ Thị Thom,Kế toán trường,662.024.120,596.800.579,,662024120.0,596800579.0
Ông Trần Trung Kết,Ông Trần Trung Kết,Ông Trần Trung Kết,Thành viên HĐQT,84.000.000,731.720.207,,84000000.0,731720207.0
Ông Hoàng Thiết Hùng,Ông Hoàng Thiết Hùng,Ông Hoàng Thiết Hùng,Thành viên độc lập (Miễn nhiệm từ ngày 03/5/2024),28.000.000,660.720.207,,28000000.0,660720207.0
Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Thành viên độc lập HĐQT (Bổ nhiệm từ ngày 03/5/2024),56.000.000,-,,56000000.0,
