row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,Thuyết minh,Năm 2024,Đơn vị tính: VND Năm 2023 (Trình bày lại),numeric__Chỉ tiêu_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024,numeric__Đơn vị tính: VND Năm 2023 (Trình bày lại)
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,1.307.939.076.396,1.393.477.022.200,,1.0,,1307939076396.0,1393477022200.0
2,2,2,Các khoản giảm trừ doanh thu,02,VI.2.,2.862.753,4.462.909,,2.0,,2862753.0,4462909.0
3,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,1.307.936.213.643,1.393.472.559.291,,10.0,,1307936213643.0,1393472559291.0
4,4,4,Giá vốn hàng bán,11,VI.3.,957.030.706.453,960.432.094.097,,11.0,,957030706453.0,960432094097.0
5,5,5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,350.905.507.190,433.040.465.194,,20.0,,350905507190.0,433040465194.0
6,6,6,Doanh thu hoạt động tài chính,21,VI.4.,84.055.087.529,34.822.255.885,,21.0,,84055087529.0,34822255885.0
7,7,7,Chi phí tài chính,22,VI.5.,31.988.385.976,48.011.321.902,,22.0,,31988385976.0,48011321902.0
,,,Trong đó: Chi phí lãi vay,23,,30.662.631.339,46.213.456.898,,23.0,,30662631339.0,46213456898.0
8,8,8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9,9,9,Chi phí bán hàng,25,VI.6.,68.973.060.496,122.608.818.719,,25.0,,68973060496.0,122608818719.0
10,10,10,Chi phí quản lý doanh nghiệp,26,VI.6.,97.631.272.825,101.910.510.304,,26.0,,97631272825.0,101910510304.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,236.367.875.422,195.332.070.154,,30.0,,236367875422.0,195332070154.0
12,12,12,Thu nhập khác,31,VI.7.,11.495.481.158,10.870.523.081,,31.0,,11495481158.0,10870523081.0
13,13,13,Chi phí khác,32,VI.8.,11.340.553.924,8.321.548.733,,32.0,,11340553924.0,8321548733.0
14,14,14,Lợi nhuận khác (40=31-32),40,,154.927.234,2.548.974.348,,40.0,,154927234.0,2548974348.0
15,15,15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,236.522.802.656,197.881.044.502,,50.0,,236522802656.0,197881044502.0
16,16,16,Chi phí thuế TNDN hiện hành,51,VI.9.,67.943.608.241,81.168.353.456,,51.0,,67943608241.0,81168353456.0
17,17,17,Chi phí thuế TNDN hoãn lại,52,VI.10.,2.618.224.189,(4.485.506.350),,52.0,,2618224189.0,-4485506350.0
18,18,18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,165.960.970.226,121.198.197.396,,60.0,,165960970226.0,121198197396.0
19,19,19,Lợi nhuận sau thuế của Công ty mẹ,61,,190.153.728.301,150.763.712.353,,61.0,,190153728301.0,150763712353.0
20,20,20,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,(24.192.758.075),(29.565.514.957),,62.0,,-24192758075.0,-29565514957.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,VI.12.,"363,68","460,18",,70.0,,363.68,460.18
