row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2024,Nguyên giá > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,1.580.432.511.193,86.589.666.284,66.307.966.637,9.007.487.101,7.948.282.954,1.750.285.914.169,1580432511193.0,86589666284.0,66307966637.0,9007487101.0,7948282954.0,1750285914169.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,37.002.545,6.126.386.208,10.533.066.838,1.941.202.482,9.220.832.314,27.858.490.387,37002545.0,6126386208.0,10533066838.0,1941202482.0,9220832314.0,27858490387.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,841.956.011.897,-,-,-,-,841.956.011.897,841956011897.0,,,,,841956011897.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(118.408.120),(7.688.111.281),(10.141.977.802),(672.355.326),(171.400.000),(18.792.252.529),-118408120.0,-7688111281.0,-10141977802.0,-672355326.0,-171400000.0,-18792252529.0
Phân loại lại tài sản,Nguyên giá > Phân loại lại tài sản,Phân loại lại tài sản,-,(304.814.320),-,388.404.320,(83.590.000),-,,-304814320.0,,388404320.0,-83590000.0,
Giảm do thoái vốn,Nguyên giá > Giảm do thoái vốn,Giảm do thoái vốn,(192.318.182),(2.060.460.030),(2.470.338.182),(139.590.909),-,(4.862.707.303),-192318182.0,-2060460030.0,-2470338182.0,-139590909.0,,-4862707303.0
Số dư ngày 31/12/2024,Nguyên giá > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,2.422.114.799.333,82.662.666.861,64.228.717.491,10.525.147.668,16.914.125.268,2.596.445.456.621,2422114799333.0,82662666861.0,64228717491.0,10525147668.0,16914125268.0,2596445456621.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2024,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2024,Số dư ngày 01/01/2024,296.526.858.084,71.021.012.531,48.761.431.285,8.179.587.954,7.032.652.061,431.521.541.915,296526858084.0,71021012531.0,48761431285.0,8179587954.0,7032652061.0,431521541915.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,59.371.171.407,6.978.090.690,5.505.398.686,725.420.777,1.011.029.119,73.591.110.679,59371171407.0,6978090690.0,5505398686.0,725420777.0,1011029119.0,73591110679.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(81.405.575),(7.543.061.956),(8.820.271.404),(662.642.142),(131.281.823),(17.238.662.900),-81405575.0,-7543061956.0,-8820271404.0,-662642142.0,-131281823.0,-17238662900.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,(107.603.410),-,154.974.243,(47.370.833),-,,-107603410.0,,154974243.0,-47370833.0,
Giảm do thoái vốn,Giá trị hao mòn luỹ kế > Giảm do thoái vốn,Giảm do thoái vốn,(2.289.502),(2.109.169.021),(2.470.338.182),(137.618.683),-,(4.719.415.388),-2289502.0,-2109169021.0,-2470338182.0,-137618683.0,,-4719415388.0
Số dư ngày 31/12/2024,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2024,Số dư ngày 31/12/2024,355.814.334.414,68.239.268.834,42.976.220.385,8.259.722.149,7.865.028.524,483.154.574.306,355814334414.0,68239268834.0,42976220385.0,8259722149.0,7865028524.0,483154574306.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2024,Giá trị còn lại > Tại ngày 01/01/2024,Tại ngày 01/01/2024,1.283.905.653.109,15.568.653.753,17.546.535.352,827.899.147,915.630.893,1.318.764.372.254,1283905653109.0,15568653753.0,17546535352.0,827899147.0,915630893.0,1318764372254.0
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,2.066.300.464.919,14.423.398.027,21.252.497.106,2.265.425.519,9.049.096.744,2.113.290.882.315,2066300464919.0,14423398027.0,21252497106.0,2265425519.0,9049096744.0,2113290882315.0
