row_label_raw,row_label_full,Trích trước chi phí hạ tầng kỹ thuật và xây dựng thiết bị,87.839.993,87.839.993_1,numeric__87.839.993,numeric__87.839.993_1
Trích trước chi phí hỗ trợ lãi suất (**),Trích trước chi phí hỗ trợ lãi suất (**),Trích trước chi phí hỗ trợ lãi suất (**),842.392.363,64.170.794.247,842392363.0,64170794247.0
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,5.694.255.697,3.271.361.967,5694255697.0,3271361967.0
Công,Công,Công,336.918.340.350,293.796.535.603,336918340350.0,293796535603.0
