row_label_raw,row_label_full,31 tháng 12 năm 2015,Miền BắcTriệu VND > 31 tháng 12 năm 2015,Miền TrungTriệu VND > 31 tháng 12 năm 2015,Miền NamTriệu VND > 31 tháng 12 năm 2015,Nước ngoàiTriệu VND > 31 tháng 12 năm 2015,Tổng cộngTriệu VND > 31 tháng 12 năm 2015,numeric__Miền BắcTriệu VND > 31 tháng 12 năm 2015,numeric__Miền TrungTriệu VND > 31 tháng 12 năm 2015,numeric__Miền NamTriệu VND > 31 tháng 12 năm 2015,numeric__Nước ngoàiTriệu VND > 31 tháng 12 năm 2015,numeric__Tổng cộngTriệu VND > 31 tháng 12 năm 2015
Tài sản,Tài sản,Tài sản,159.993.011,11.642.655,45.962.472,3.443.855,221.041.993,159993011.0,11642655.0,45962472.0,3443855.0,221041993.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,139.791.213,11.542.763,43.118.652,3.406.314,197.858.942,139791213.0,11542763.0,43118652.0,3406314.0,197858942.0
Tài sản cố định - thuần,Tài sản cố định - thuần,Tài sản cố định - thuần,1.646.611,65.452,192.905,26.721,1.931.689,1646611.0,65452.0,192905.0,26721.0,1931689.0
2015,2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Doanh thu,Doanh thu,8.877.886,1.459.155,5.516.080,208.500,16.061.621,8877886.0,1459155.0,5516080.0,208500.0,16061621.0
Chi phí,Chi phí,Chi phí,6.312.729,1.324.200,5.019.435,184.586,12.840.950,6312729.0,1324200.0,5019435.0,184586.0,12840950.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.565.157,134.955,496.645,23.914,3.220.671,2565157.0,134955.0,496645.0,23914.0,3220671.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,,,,,
31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,,,,,
Tài sản,31 tháng 12 năm 2014 > Tài sản,Tài sản,152.409.561,9.423.975,36.257.936,2.397.702,200.489.174,152409561.0,9423975.0,36257936.0,2397702.0,200489174.0
Nợ phải trả,31 tháng 12 năm 2014 > Nợ phải trả,Nợ phải trả,136.974.886,9.425.857,34.589.402,2.350.817,183.340.962,136974886.0,9425857.0,34589402.0,2350817.0,183340962.0
Tài sản cố định - thuần,31 tháng 12 năm 2014 > Tài sản cố định - thuần,Tài sản cố định - thuần,1.836.819,19.909,65.035,5.569,1.927.332,1836819.0,19909.0,65035.0,5569.0,1927332.0
2014,31 tháng 12 năm 2014 > 2014,2014,2014,2014,2014,2014,2014,2014.0,2014.0,2014.0,2014.0,2014.0
Doanh thu,31 tháng 12 năm 2014 > Doanh thu,Doanh thu,9.031.400,1.394.983,4.802.032,163.682,15.392.097,9031400.0,1394983.0,4802032.0,163682.0,15392097.0
Chi phí,31 tháng 12 năm 2014 > Chi phí,Chi phí,6.420.388,1.303.602,4.358.219,135.886,12.218.095,6420388.0,1303602.0,4358219.0,135886.0,12218095.0
Lợi nhuận trước thuế,31 tháng 12 năm 2014 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.611.012,91.381,443.813,27.796,3.174.002,2611012.0,91381.0,443813.0,27796.0,3174002.0
