row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,18,1.411.502,-,,18.0,1411502.0,
II,B > II,II,Tiền gửi và vay các TCTD khác,19,7.509.486,4.604.175,,19.0,7509486.0,4604175.0
1,B > 1,1,Tiền gửi của các TCTD khác,,3.483.599,966.715,,,3483599.0,966715.0
2,B > 2,2,Vay các TCTD khác,,4.025.887,3.637.460,,,4025887.0,3637460.0
III,B > III,III,Tiền gửi của khách hàng,20,181.565.384,167.608.507,,20.0,181565384.0,167608507.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,317.958,224.788,,21.0,317958.0,224788.0
VI,B > VI,VI,Phát hành giấy tờ có giá,22,2.450.058,2.000.058,,22.0,2450058.0,2000058.0
VII,B > VII,VII,Các khoản nợ khác,23,4.604.554,8.903.434,,23.0,4604554.0,8903434.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.786.044,1.914.914,,,1786044.0,1914914.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,2.818.510,6.988.520,,,2818510.0,6988520.0
,,,TỔNG NỘ PHẢI TRẢ,,197.858.942,183.340.962,,,197858942.0,183340962.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,24,23.183.051,17.148.212,,24.0,23183051.0,17148212.0
1,B > 1,1,Vốn của TCTD,,16.718.524,11.932.359,,,16718524.0,11932359.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,16.000.000,11.593.938,,,16000000.0,11593938.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,718.524,338.421,,,718524.0,338421.0
2,B > 2,2,Quỹ của TCTD,,2.241.691,1.839.735,,,2241691.0,1839735.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.633.134,2.788.992,,,3633134.0,2788992.0
6,B > 6,6,Lợi ích của cổ đông không kiểm soát,24,589.702,587.126,,24.0,589702.0,587126.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,23.183.051,17.148.212,,,23183051.0,17148212.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,221.041.993,200.489.174,,,221041993.0,200489174.0
