row_label_raw,row_label_full,col_0,2015,2014 > Trình bày lại,2014 > Như đã trìnhbảy trước đây,numeric__2015,numeric__2014 > Trình bày lại,numeric__2014 > Như đã trìnhbảy trước đây
,,,VND,VND,VND,,,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.902,2.073 (*),2.136,1902.0,,2136.0
