row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1đến 3 tháng,Từ 3đến 6 tháng,Từ 6đến 12 tháng,Trên 1 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1đến 3 tháng,numeric__Từ 3đến 6 tháng,numeric__Từ 6đến 12 tháng,numeric__Trên 1 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.233.231,-,-,-,-,-,1.233.231,,1233231.0,,,,,,1233231.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.067.482,-,-,-,-,6.067.482,,,6067482.0,,,,,6067482.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,442.500,-,10.357.731,5.009.995,3.546.531,1.000,2.500.000,21.857.757,442500.0,,10357731.0,5009995.0,3546531.0,1000.0,2500000.0,21857757.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,505.404,358.887,322.081,2.056.020,2.411.466,4.891.829,10.545.687,,505404.0,358887.0,322081.0,2056020.0,2411466.0,4891829.0,10545687.0
Các công cụ tài chính phải sinhvà tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà tài sản tài chính khác,Các công cụ tài chính phải sinhvà tài sản tài chính khác,-,5.387,-,-,-,-,-,5.387,,5387.0,,,,,,5387.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.592.756,-,23.177.661,38.408.955,22.126.314,9.578.808,1.684.512,100.569.006,5592756.0,,23177661.0,38408955.0,22126314.0,9578808.0,1684512.0,100569006.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,380.000,782.038,2.012.963,4.916.705,6.642.217,7.771.010,28.599.977,51.104.910,380000.0,782038.0,2012963.0,4916705.0,6642217.0,7771010.0,28599977.0,51104910.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",32.530,1.600.162,-,-,-,-,-,1.632.692,32530.0,1600162.0,,,,,,1632692.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.927.332,-,-,-,-,-,1.927.332,,1927332.0,,,,,,1927332.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,272.665,-,-,-,-,-,272.665,,272665.0,,,,,,272665.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,595.214,8.330.882,-,-,-,-,-,8.926.096,595214.0,8330882.0,,,,,,8926096.0
,,,7.043.000,14.657.101,41.974.724,48.657.736,34.371.082,19.762.284,37.676.318,204.142.245,7043000.0,14657101.0,41974724.0,48657736.0,34371082.0,19762284.0,37676318.0,204142245.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.286.112,596.594,604.667,270.495,1.846.307,4.604.175,,,1286112.0,596594.0,604667.0,270495.0,1846307.0,4604175.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,548.919,58.409.229,50.260.388,24.639.869,21.339.987,12.410.115,167.608.507,,548919.0,58409229.0,50260388.0,24639869.0,21339987.0,12410115.0,167608507.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",-,-,5.668,125,831,4.593,213.571,224.788,,,5668.0,125.0,831.0,4593.0,213571.0,224788.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,58,-,-,-,2.000.000,2.000.058,,,58.0,,,,2000000.0,2000058.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,-,8.903.434,-,-,-,-,-,8.903.434,,8903434.0,,,,,,8903434.0
,,,-,9.452.353,59.701.067,50.857.107,25.245.367,21.615.075,16.469.993,183.340.962,,9452353.0,59701067.0,50857107.0,25245367.0,21615075.0,16469993.0,183340962.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,7.043.000,5.204.748,(17.726.343),(2.199.371),9.125.715,(1.852.791),21.206.325,20.801.283,7043000.0,5204748.0,-17726343.0,-2199371.0,9125715.0,-1852791.0,21206325.0,20801283.0
