row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,11.593.938,338.421,1.099.548,556.687,183.500,2.788.992,587.126,17.148.212,11593938.0,338421.0,1099548.0,556687.0,183500.0,2788992.0,587126.0,17148212.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,4.058.244,380.103,-,-,-,-,-,4.438.347,4058244.0,380103.0,,,,,,4438347.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.495.993,16.141,2.512.134,,,,,,2495993.0,16141.0,2512134.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,347.818,-,-,-,-,(347.818),-,-,347818.0,,,,,-347818.0,,
Trích bổ sung các quỹ cho năm 2014,Trích bổ sung các quỹ cho năm 2014,Trích bổ sung các quỹ cho năm 2014,-,-,237.053,119.346,172.740,(529.139),-,-,,,237053.0,119346.0,172740.0,-529139.0,,
Tam trích các quỹ cho năm 2015,Tam trích các quỹ cho năm 2015,Tam trích các quỹ cho năm 2015,-,-,1.187,-,37.763,(38.950),-,-,,,1187.0,,37763.0,-38950.0,,
Tiền cổ tức trong năm,Tiền cổ tức trong năm,Tiền cổ tức trong năm,-,-,-,-,-,(579.697),(1.475),(581.172),,,,,,-579697.0,-1475.0,-581172.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(168.288),-,-,(168.288),,,,,-168288.0,,,-168288.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(153.658),-,(153.658),,,,,,-153658.0,,-153658.0
Trích quỹ dự trữ bắt buộc của chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của chi nhánh nước ngoài,-,-,-,-,2.675,(2.675),-,-,,,,,2675.0,-2675.0,,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,86,-,86,,,,,,86.0,,86.0
Tăng lợi ích cổ đông không kiểm soát do thay đổi quyền sở hữu công ty con,Tăng lợi ích cổ đông không kiểm soát do thay đổi quyền sở hữu công ty con,Tăng lợi ích cổ đông không kiểm soát do thay đổi quyền sở hữu công ty con,-,-,-,-,-,-,(12.610),(12.610),,,,,,,-12610.0,-12610.0
Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,-,-,(349),241,(412),-,520,-,,,-349.0,241.0,-412.0,,520.0,
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,16.000.000,718.524,1.337.439,676.274,227.978,3.633.134,589.702,23.183.051,16000000.0,718524.0,1337439.0,676274.0,227978.0,3633134.0,589702.0,23183051.0
