row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2015,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2015Triệu VND,numeric__Mức tănglãi suất31/12/2015,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2015Triệu VND
VND,VND,VND,"2,00%",286.006,0.02,286006.0
USD,USD,USD,"1,00%",(15.800),0.01,-15800.0
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2014,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế31/12/2014Triệu VND,,
VND,Loại tiền > VND,VND,"2,00%",175.424,0.02,175424.0
USD,Loại tiền > USD,USD,"1,00%",27.040,0.01,27040.0
