row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,428.987,655.434,440.162,119.210,1.643.793,428987.0,655434.0,440162.0,119210.0,1643793.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,54.630,69.286,47.636,8.835,180.387,54630.0,69286.0,47636.0,8835.0,180387.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(2.693),(107),(1.201),(4.001),,-2693.0,-107.0,-1201.0,-4001.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,483.617,722.027,487.691,126.844,1.820.179,483617.0,722027.0,487691.0,126844.0,1820179.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,49.477,497.618,258.546,62.982,868.623,49477.0,497618.0,258546.0,62982.0,868623.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.878,106.362,76.629,23.063,224.932,18878.0,106362.0,76629.0,23063.0,224932.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(3.384),-,(1.077),(4.461),,-3384.0,,-1077.0,-4461.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,68.355,600.596,335.175,84.968,1.089.094,68355.0,600596.0,335175.0,84968.0,1089094.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,379.510,157.816,181.616,56.228,775.170,379510.0,157816.0,181616.0,56228.0,775170.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,415.262,121.431,152.516,41.876,731.085,415262.0,121431.0,152516.0,41876.0,731085.0
