row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,11.256.250,338.421,871.384,441.744,111.147,2.129.237,558.884,15.707.067,11256250.0,338421.0,871384.0,441744.0,111147.0,2129237.0,558884.0,15707067.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.475.969,27.018,2.502.987,,,,,,2475969.0,27018.0,2502987.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,337.688,-,-,-,-,(337.688),-,-,337688.0,,,,,-337688.0,,
Trích bổ sung các quỹ cho năm 2013,Trích bổ sung các quỹ cho năm 2013,Trích bổ sung các quỹ cho năm 2013,-,-,222.253,111.127,145.425,(478.805),-,-,,,222253.0,111127.0,145425.0,-478805.0,,
Tạm trích quỹ năm 2014,Tạm trích quỹ năm 2014,Tạm trích quỹ năm 2014,-,-,7.261,4.728,43.411,(55.400),-,-,,,7261.0,4728.0,43411.0,-55400.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(10),-,(116.036),-,-,(116.046),,,-10.0,,-116036.0,,,-116046.0
Tạm ứng cổ tức năm 2014,Tạm ứng cổ tức năm 2014,Tạm ứng cổ tức năm 2014,-,-,-,-,-,(811.576),(1.475),(813.051),,,,,,-811576.0,-1475.0,-813051.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(143.570),-,(143.570),,,,,,-143570.0,,-143570.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,10.825,-,10.825,,,,,,10825.0,,10825.0
Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,Tăng/(giảm) vốn và quỹ cho các cổ đông không kiểm soát,-,-,(1.340),(912),(447),-,2.699,-,,,-1340.0,-912.0,-447.0,,2699.0,
Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,11.593.938,338.421,1.099.548,556.687,183.500,2.788.992,587.126,17.148.212,11593938.0,338421.0,1099548.0,556687.0,183500.0,2788992.0,587126.0,17148212.0
