row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Các tài sản vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Các tài sản vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,871.453,253.353,277.311,1.402.117,871453.0,253353.0,277311.0,1402117.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,43.135,12.716,-,55.851,43135.0,12716.0,,55851.0
Số dư tại ngày 31 tháng 12 năm 2014,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,914.588,266.069,277.311,1.457.968,914588.0,266069.0,277311.0,1457968.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,52.722,208.140,-,260.862,52722.0,208140.0,,260862.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,17.316,27.628,-,44.944,17316.0,27628.0,,44944.0
Số dư tại ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,70.038,235.768,-,305.806,70038.0,235768.0,,305806.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,818.731,45.213,277.311,1.141.255,818731.0,45213.0,277311.0,1141255.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,844.550,30.301,277.311,1.152.162,844550.0,30301.0,277311.0,1152162.0
