row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015 (Triệu VND),Quá hạn dưới 3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn dưới 3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.235.658,-,-,-,-,1.235.658,,,1235658.0,,,,,1235658.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.181.894,-,-,-,-,8.181.894,,,8181894.0,,,,,8181894.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,2.500,264.000,15.550.118,7.405.648,3.705.684,-,2.000.000,28.927.950,2500.0,264000.0,15550118.0,7405648.0,3705684.0,,2000000.0,28927950.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,1.809.280,447.830,646.155,560.193,150.851,3.614.309,,,1809280.0,447830.0,646155.0,560193.0,150851.0,3614309.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,96.437,-,-,-,-,96.437,,,96437.0,,,,,96437.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.381.530,2.245.115,8.289.612,26.811.358,35.091.563,31.703.848,14.825.604,121.348.630,2381530.0,2245115.0,8289612.0,26811358.0,35091563.0,31703848.0,14825604.0,121348630.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,280.000,2.183.010,4.081.485,5.401.685,32.321.551,3.315.431,47.583.162,,280000.0,2183010.0,4081485.0,5401685.0,32321551.0,3315431.0,47583162.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,32.530,-,-,626.004,9.900,1.158.980,1.827.414,,32530.0,,,626004.0,9900.0,1158980.0,1827414.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,295.325,1.636.364,1.931.689,,,,,,295325.0,1636364.0,1931689.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,298.451,298.451,,,,,,,298451.0,298451.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,629.373,8.513.786,74.285,334.843,49.017,44.793,9.646.097,,629373.0,8513786.0,74285.0,334843.0,49017.0,44793.0,9646097.0
,,,2.384.030,3.451.018,45.859.795,38.820.606,45.805.934,64.939.834,23.430.474,224.691.691,2384030.0,3451018.0,45859795.0,38820606.0,45805934.0,64939834.0,23430474.0,224691691.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.411.502,-,-,-,-,1.411.502,,,1411502.0,,,,,1411502.0
Tiền gửi và tiền vay các TCTD khác,Nợ phải trả > Tiền gửi và tiền vay các TCTD khác,Tiền gửi và tiền vay các TCTD khác,-,-,4.908.377,68.544,497.010,35.555,2.000.000,7.509.486,,,4908377.0,68544.0,497010.0,35555.0,2000000.0,7509486.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,59.545.671,48.515.230,55.256.313,8.974.687,9.273.483,181.565.384,,,59545671.0,48515230.0,55256313.0,8974687.0,9273483.0,181565384.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,767,7.871,309.320,-,317.958,,,,767.0,7871.0,309320.0,,317958.0
