row_label_raw,row_label_full,31 tháng 12 năm 2015,Khách hàng cá nhân và doanh nghiệp VND,Đầu tư VND,Hoạt động liên ngân hàng VND,Khối quản lý tài sản VND,Hoạt động chung không phân bổ VND,Tổng cộng VND,numeric__Khách hàng cá nhân và doanh nghiệp VND,numeric__Đầu tư VND,numeric__Hoạt động liên ngân hàng VND,numeric__Khối quản lý tài sản VND,numeric__Hoạt động chung không phân bổ VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,122.008.388,47.721.041,28.428.691,2.202.717,20.681.156,221.041.993,122008388.0,47721041.0,28428691.0,2202717.0,20681156.0,221041993.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,185.201.860,2.000.000,7.173.104,1.025.062,2.458.916,197.858.942,185201860.0,2000000.0,7173104.0,1025062.0,2458916.0,197858942.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,-,-,-,2.200,1.929.489,1.931.689,,,,2200.0,1929489.0,1931689.0
2015,2015,2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Doanh thu,Doanh thu,9.460.818,4.138.993,278.998,366.299,1.816.513,16.061.621,9460818.0,4138993.0,278998.0,366299.0,1816513.0,16061621.0
Chi phí,Chi phí,Chi phí,7.318.795,857.028,283.078,356.726,4.025.323,12.840.950,7318795.0,857028.0,283078.0,356726.0,4025323.0,12840950.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.142.023,3.281.965,(4.080),9.573,(2.208.810),3.220.671,2142023.0,3281965.0,-4080.0,9573.0,-2208810.0,3220671.0
31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,Khách hàng cá nhân và doanh nghiệp VND,Đầu tư VND,Hoạt động liên ngân hàng VND,Khối quản lý tài sản VND,Hoạt động chung không phân bổ VND,Tổng cộng VND,,,,,,
Tài sản,31 tháng 12 năm 2014 > Tài sản,Tài sản,89.972.987,62.290.922,22.110.144,2.158.468,23.956.653,200.489.174,89972987.0,62290922.0,22110144.0,2158468.0,23956653.0,200489174.0
Nợ phải trả,31 tháng 12 năm 2014 > Nợ phải trả,Nợ phải trả,137.126.659,20.527.466,16.822.282,975.063,7.889.492,183.340.962,137126659.0,20527466.0,16822282.0,975063.0,7889492.0,183340962.0
Tài sản cố định – thuần,31 tháng 12 năm 2014 > Tài sản cố định – thuần,Tài sản cố định – thuần,-,-,-,2.443,1.924.889,1.927.332,,,,2443.0,1924889.0,1927332.0
2014,31 tháng 12 năm 2014 > 2014,2014,2014,2014,2014,2014,2014,2014,2014.0,2014.0,2014.0,2014.0,2014.0,2014.0
Doanh thu,31 tháng 12 năm 2014 > Doanh thu,Doanh thu,7.305.198,6.512.715,413.907,317.268,843.009,15.392.097,7305198.0,6512715.0,413907.0,317268.0,843009.0,15392097.0
Chi phí,31 tháng 12 năm 2014 > Chi phí,Chi phí,6.200.903,3.802.409,313.677,252.945,1.648.161,12.218.095,6200903.0,3802409.0,313677.0,252945.0,1648161.0,12218095.0
Lợi nhuận trước thuế,31 tháng 12 năm 2014 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.104.295,2.710.306,100.230,64.323,(805.152),3.174.002,1104295.0,2710306.0,100230.0,64323.0,-805152.0,3174002.0
