row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,314.035,572.505,384.939,70.099,1.341.578,314035.0,572505.0,384939.0,70099.0,1341578.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,114.952,84.473,55.381,50.653,305.459,114952.0,84473.0,55381.0,50653.0,305459.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.544),(158),(1.542),(3.244),,-1544.0,-158.0,-1542.0,-3244.0
Số dư tại ngày 31 tháng 12 năm 2014,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,428.987,655.434,440.162,119.210,1.643.793,428987.0,655434.0,440162.0,119210.0,1643793.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,33.971,390.594,179.334,41.585,645.484,33971.0,390594.0,179334.0,41585.0,645484.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.506,108.568,79.401,22.591,226.066,15506.0,108568.0,79401.0,22591.0,226066.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(1.544),(189),(1.194),(2.927),,-1544.0,-189.0,-1194.0,-2927.0
Số dư tại ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,49.477,497.618,258.546,62.982,868.623,49477.0,497618.0,258546.0,62982.0,868623.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,280.064,181.911,205.605,28.514,696.094,280064.0,181911.0,205605.0,28514.0,696094.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,379.510,157.816,181.616,56.228,775.170,379510.0,157816.0,181616.0,56228.0,775170.0
