row_label_raw,row_label_full,Loại tiền gửi,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Loại tiền gửi,Loại tiền gửi,Loại tiền gửi,31/12/2015,31/12/2014,,
▪ Tiền gửi bằng ngoại tệ khác KHR,Loại tiền gửi > ▪ Tiền gửi bằng ngoại tệ khác KHR,▪ Tiền gửi bằng ngoại tệ khác KHR,"12,50%","12,50%",0.125,0.125
▪ Tiền gửi bằng KHR,Loại tiền gửi > ▪ Tiền gửi bằng KHR,▪ Tiền gửi bằng KHR,"8,00%","8,00%",0.08,0.08
