row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019 VND,31/12/2018 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__31/12/2018 VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,16,170.256.322.260,1.469.369.844.175,,16.0,170256322260.0,1469369844175.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,18.368.865.706.788,16.755.979.976.142,,17.0,18368865706788.0,16755979976142.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.693.945.020.646,11.206.813.979.819,,,13693945020646.0,11206813979819.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,4.674.920.686.142,5.549.165.996.323,,,4674920686142.0,5549165996323.0
III,B > III,III,Tiền gửi của khách hàng,18,69.219.817.510.743,60.447.738.114.582,,18.0,69219817510743.0,60447738114582.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,4.628.453.305.634,2.554.086.683.211,,19.0,4628453305634.0,2554086683211.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,11.764.565.982.207,8.156.400.898.720,,20.0,11764565982207.0,8156400898720.0
VII,B > VII,VII,Các khoản nợ khác,,2.576.055.804.980,1.867.387.413.427,,,2576055804980.0,1867387413427.0
I,B > I,I,"Các khoản lãi, phí phải trả",,1.701.352.095.988,1.379.622.216.389,,,1701352095988.0,1379622216389.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21,874.703.708.992,487.765.197.038,,21.0,874703708992.0,487765197038.0
,,,TỔNG NỘ PHẢI TRẢ,,106.728.014.632.612,91.250.962.930.257,,,106728014632612.0,91250962930257.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,23,11.506.652.922.253,8.795.608.603.625,,23.0,11506652922253.0,8795608603625.0
1,B > 1,1,Vốn,,8.049.788.003.124,6.607.760.630.000,,,8049788003124.0,6607760630000.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,7.898.570.750.000,6.599.210.630.000,,,7898570750000.0,6599210630000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,151.217.253.124,98.800.000.000,,,151217253124.0,98800000000.0
\( d \),B > \( d \),\( d \),Có phiếu quỹ,,-,(90.250.000.000),,,,-90250000000.0
2,B > 2,2,Các quỹ,,1.075.944.773.514,688.441.619.221,,,1075944773514.0,688441619221.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.380.920.145.615,1.499.406.354.404,,,2380920145615.0,1499406354404.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,11.506.652.922.253,8.795.608.603.625,,,11506652922253.0,8795608603625.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,118.234.667.554.865,100.046.571.533.882,,,118234667554865.0,100046571533882.0
