row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019 VND,31/12/2018 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__31/12/2018 VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,712.715.793.026,680.247.116.192,,4.0,712715793026.0,680247116192.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,2.072.665.956.459,1.275.368.798.168,,5.0,2072665956459.0,1275368798168.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,17.493.693.697.759,13.446.470.503.915,,6.0,17493693697759.0,13446470503915.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,14.352.568.477.940,12.737.000.923.175,,,14352568477940.0,12737000923175.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,3.141.125.219.819,709.469.580.740,,,3141125219819.0,709469580740.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,496.581.000.000,-,,7.0,496581000000.0,
1,A > 1,1,Chứng khoán kinh doanh,,496.581.000.000,-,,,496581000000.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,70.802.974.907,62.021.072.161,,8.0,70802974907.0,62021072161.0
VI,A > VI,VI,Cho vay khách hàng,,70.366.005.219.323,55.751.006.610.433,,,70366005219323.0,55751006610433.0
1,A > 1,1,Cho vay khách hàng,9,71.090.741.071.723,56.316.351.513.938,,9.0,71090741071723.0,56316351513938.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(724.735.852.400),(565.344.903.505),,10.0,-724735852400.0,-565344903505.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,22.873.713.733.332,24.387.912.715.695,,11.0,22873713733332.0,24387912715695.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,22.934.127.428.730,24.444.023.730.519,,,22934127428730.0,24444023730519.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(60.413.695.398),(56.111.014.824),,,-60413695398.0,-56111014824.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",12,29.838.475.818,39.736.288.513,,12.0,29838475818.0,39736288513.0
1,A > 1,1,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,,25000000000.0,25000000000.0
4,A > 4,4,Đầu tư dài hạn khác,,24.540.000.000,24.540.000.000,,,24540000000.0,24540000000.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(19.701.524.182),(9.803.711.487),,,-19701524182.0,-9803711487.0
X,A > X,X,Tài sản cố định,,594.784.444.540,529.287.598.940,,,594784444540.0,529287598940.0
1,A > 1,1,Tài sản cố định hữu hình,13,316.367.768.679,279.207.341.730,,13.0,316367768679.0,279207341730.0
a,A > a,a,Nguyên giá,,645.486.497.178,562.058.876.913,,,645486497178.0,562058876913.0
b,A > b,b,Giá trị hao mòn lũy kế,,(329.118.728.499),(282.851.535.183),,,-329118728499.0,-282851535183.0
3,A > 3,3,Tài sản cố định vô hình,14,278.416.675.861,250.080.257.210,,14.0,278416675861.0,250080257210.0
a,A > a,a,Nguyên giá,,417.525.816.476,355.722.349.547,,,417525816476.0,355722349547.0
b,A > b,b,Giá trị hao mòn lũy kế,,(139.109.140.615),(105.642.092.337),,,-139109140615.0,-105642092337.0
XII,A > XII,XII,Tài sản Có khác,15,3.523.866.259.701,3.874.520.829.865,,15.0,3523866259701.0,3874520829865.0
1,A > 1,1,Các khoản phải thu,,1.734.168.135.443,2.414.109.267.432,,,1734168135443.0,2414109267432.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.401.523.985.520,1.116.408.031.639,,,1401523985520.0,1116408031639.0
4,A > 4,4,Tài sản Có khác,,392.974.138.738,348.803.530.794,,,392974138738.0,348803530794.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(4.800.000.000),(4.800.000.000),,,-4800000000.0,-4800000000.0
