row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Các quỹ VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Các quỹ VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.000.000.000.000,98.800.000.000,(90.250.000.000),424.136.387.806,704.054.430.248,6.136.740.818.054,5000000000000.0,98800000000.0,-90250000000.0,424136387806.0,704054430248.0,6136740818054.0
Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,903.752.850.000,-,-,-,-,903.752.850.000,903752850000.0,,,,,903752850000.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,695.457.780.000,-,-,-,(695.457.780.000),-,695457780000.0,,,,-695457780000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.762.034.876.097,1.762.034.876.097,,,,,1762034876097.0,1762034876097.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,264.305.231.415,(264.305.231.415),-,,,,264305231415.0,-264305231415.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(6.919.940.526),(6.919.940.526),,,,,-6919940526.0,-6919940526.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,6.599.210.630.000,98.800.000.000,(90.250.000.000),688.441.619.221,1.499.406.354.404,8.795.608.603.625,6599210630000.0,98800000000.0,-90250000000.0,688441619221.0,1499406354404.0,8795608603625.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,1.299.360.120.000,-,-,-,(1.299.360.120.000),-,1299360120000.0,,,,-1299360120000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.583.354.361.950,2.583.354.361.950,,,,,2583354361950.0,2583354361950.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,387.503.154.293,(387.503.154.293),-,,,,387503154293.0,-387503154293.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(14.977.296.446),(14.977.296.446),,,,,-14977296446.0,-14977296446.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,52.417.253.124,90.250.000.000,-,-,142.667.253.124,,52417253124.0,90250000000.0,,,142667253124.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,7.898.570.750.000,151.217.253.124,-,1.075.944.773.514,2.380.920.145.615,11.506.652.922.253,7898570750000.0,151217253124.0,,1075944773514.0,2380920145615.0,11506652922253.0
