row_label_raw,row_label_full,Nhận tiền gửi,18.055.981.089.250,11.964.610.318.264,numeric__18.055.981.089.250,numeric__11.964.610.318.264
Rút tiền gửi,Rút tiền gửi,Rút tiền gửi,18.063.382.980.530,11.939.449.927.711,18063382980530.0,11939449927711.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,8.294.634.953,5.624.236.455,8294634953.0,5624236455.0
Thu nhập hoạt động dịch vụ,Thu nhập hoạt động dịch vụ,Thu nhập hoạt động dịch vụ,430.807.761,1.267.332.592,430807761.0,1267332592.0
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,42.995.156,45.946.793,42995156.0,45946793.0
Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,1.615.574.107,2.632.981.728,1615574107.0,2632981728.0
