row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2019 VND,2018 VND,numeric__col_1,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,9.638.357.321.356,7.656.988.140.389,,24.0,9638357321356.0,7656988140389.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(5.537.239.479.214),(4.221.065.129.235),,24.0,-5537239479214.0,-4221065129235.0
I,I,I,Thu nhập lãi thuần,24,4.101.117.842.142,3.435.923.011.154,,24.0,4101117842142.0,3435923011154.0
3,3,3,Thu nhập từ hoạt động dịch vụ,25,617.734.799.412,385.964.448.833,,25.0,617734799412.0,385964448833.0
4,4,4,Chi phí hoạt động dịch vụ,25,(79.608.088.785),(55.812.362.097),,25.0,-79608088785.0,-55812362097.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,538.126.710.627,330.152.086.736,,25.0,538126710627.0,330152086736.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,114.400.838.022,83.519.035.834,,26.0,114400838022.0,83519035834.0
IV,IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,27,(6.424.930.001),24.327.463.984,,27.0,-6424930001.0,24327463984.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,28,1.093.550.271.643,939.235.020.184,,28.0,1093550271643.0,939235020184.0
5,5,5,Thu nhập từ hoạt động khác,29,818.791.639.438,351.250.459.648,,29.0,818791639438.0,351250459648.0
6,6,6,Chi phí hoạt động khác,29,(54.196.287.166),(156.445.921.279),,29.0,-54196287166.0,-156445921279.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,764.595.352.272,194.804.538.369,,29.0,764595352272.0,194804538369.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,1.831.574.107,3.025.681.728,,30.0,1831574107.0,3025681728.0
VIII,VIII,VIII,Chi phí hoạt động,31,(2.442.321.398.710),(1.864.053.822.595),,31.0,-2442321398710.0,-1864053822595.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,4.164.876.260.102,3.146.933.015.394,,,4164876260102.0,3146933015394.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(932.794.429.202),(944.471.229.076),,32.0,-932794429202.0,-944471229076.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,3.232.081.830.900,2.202.461.786.318,,,3232081830900.0,2202461786318.0
