row_label_raw,row_label_full,col_0,col_1,2019VND,2018VND,numeric__col_1,numeric__2019VND,numeric__2018VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01,01,Mua sắm tài sản cố định,(121.182.860.687),(38.594.750.679),,-121182860687.0,-38594750679.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02,02,"Tiền thu từ thanh lý, nhượng bán tài sản",41.203.908.455,148.799.249.500,,41203908455.0,148799249500.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,118.900.000,,,118900000.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 09,09,Tiền thu cổ tức và lợi nhuận được chia,1.831.574.107,3.025.681.728,,1831574107.0,3025681728.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(78.147.378.125),113.349.080.549,,-78147378125.0,113349080549.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,-,903.752.850.000,,,903752850000.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 04,04,Cổ tức trả cho cổ đông,(186.441.391),(4.488.144.099),,-186441391.0,-4488144099.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 06,06,Tiền thu được do bán cổ phiếu quỹ,142.667.253.124,-,,142667253124.0,
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,142.480.811.733,899.264.705.901,,142480811733.0,899264705901.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,2.445.333.389.890,1.471.002.900.595,,2445333389890.0,1471002900595.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,14.692.616.837.535,13.221.613.936.940,,14692616837535.0,13221613936940.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM (THUYẾT MINH 34),17.137.950.227.425,14.692.616.837.535,,17137950227425.0,14692616837535.0
