row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tổng giá trị của hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng)VND,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo) > Tài sảnVND,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo) > Công nợVND,numeric__Tổng giá trị của hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng)VND,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo) > Tài sảnVND,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo) > Công nợVND
Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,2.334.370.577.75022.539.599.807.050,-76.531.352.657,5.728.377.750-,2.3343705777502253e+26,-76531352657.0,
,,,24.873.970.384.800,76.531.352.657,5.728.377.750,24873970384800.0,76531352657.0,5728377750.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tổng giá trị của hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng)VND,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày báo cáo),,,
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tổng giá trị của hợp đồng (theo tỷ giá tại ngày hiệu lực hợp đồng)VND,Tài sảnVND,Công nợVND,,,
Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ▪ Giao dịch kỳ hạn tiền tệ▪ Giao dịch hoán đổi tiền tệ,772.008.155.77113.311.638.370.450,1.238.122.55160.782.949.610,--,7.7200815577113316e+25,1.2381225516078295e+20,
,,,14.083.646.526.221,62.021.072.161,-,14083646526221.0,62021072161.0,
