row_label_raw,row_label_full,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV_1,Tổng Công ty Bến Thành – TNHH MTV_2,numeric__Tổng Công ty Bến Thành – TNHH MTV_1,numeric__Tổng Công ty Bến Thành – TNHH MTV_2
Tiền gửi,Tiền gửi,Tiền gửi,(627.468.839.719),(571.138.362.988),-627468839719.0,-571138362988.0
Lãi phải trả,Lãi phải trả,Lãi phải trả,(3.509.701.369),(2.364.252.057),-3509701369.0,-2364252057.0
