row_label_raw,row_label_full,2019,Số dưđầu nămVND,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số đã nộpVND,Số durcuối nămVND,numeric__Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số durcuối nămVND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,54.854.910.261,648.727.468.950,(443.735.041.172),259.847.338.039,54854910261.0,648727468950.0,-443735041172.0,259847338039.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.079.970.061,40.999.287.469,(40.826.815.803),6.252.441.727,6079970061.0,40999287469.0,-40826815803.0,6252441727.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.055.117.904,85.582.457.071,(80.187.348.213),11.450.226.762,6055117904.0,85582457071.0,-80187348213.0,11450226762.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,855.912.097,4.765.690.195,(5.558.542.762),63.059.530,855912097.0,4765690195.0,-5558542762.0,63059530.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,624.780.412,(624.780.412),-,,624780412.0,-624780412.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,133.500.000,(133.500.000),-,,133500000.0,-133500000.0,
,,,67.845.910.323,780.833.184.097,(571.066.028.362),277.613.066.058,67845910323.0,780833184097.0,-571066028362.0,277613066058.0
2018,2018,2018,Số dưđầu nămVND,Phát sinh trong năm,Phát sinh trong năm,Số durcuối nămVND,,,,
2018,2018,2018,Số dưđầu nămVND,Số phải nộpVND,Số đã nộpVND,Số durcuối nămVND,,,,
Thuế thu nhập doanh nghiệp,2018 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,45.825.075.988,440.426.910.221,(431.397.075.948),54.854.910.261,45825075988.0,440426910221.0,-431397075948.0,54854910261.0
Thuế giá trị gia tăng,2018 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.697.273.330,27.738.035.626,(24.355.338.895),6.079.970.061,2697273330.0,27738035626.0,-24355338895.0,6079970061.0
Thuế thu nhập cá nhân,2018 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.401.655.779,65.453.140.267,(65.799.678.142),6.055.117.904,6401655779.0,65453140267.0,-65799678142.0,6055117904.0
Thuế nhà thầu,2018 > Thuế nhà thầu,Thuế nhà thầu,228.463.655,4.188.876.713,(3.561.428.271),855.912.097,228463655.0,4188876713.0,-3561428271.0,855912097.0
Thuế nhà đất,2018 > Thuế nhà đất,Thuế nhà đất,-,469.970.586,(469.970.586),-,,469970586.0,-469970586.0,
Các loại thuế khác,2018 > Các loại thuế khác,Các loại thuế khác,-,125.500.000,(125.500.000),-,,125500000.0,-125500000.0,
,,,55.152.468.752,538.402.433.413,(525.708.991.842),67.845.910.323,55152468752.0,538402433413.0,-525708991842.0,67845910323.0
