row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6"
,,,VNDVND,USDVND,VàngVND,EURVND,Tiền tệ khácVND,TổngVND,,,,,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",581.077.084.400,67.930.838.100,2.374.290.000,36.371.386.964,24.962.193.562,712.715.793.026,581077084400.0,67930838100.0,2374290000.0,36371386964.0,24962193562.0,712715793026.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.063.669.535.480,8.996.420.979,-,-,-,2.072.665.956.459,2063669535480.0,8996420979.0,,,,2072665956459.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,12.697.471.867.841,2.766.659.309.306,-,21.397.293.837,2.008.165.226.775,17.493.693.697.759,12697471867841.0,2766659309306.0,,21397293837.0,2008165226775.0,17493693697759.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,496.581.000.000,-,-,-,-,496.581.000.000,496581000000.0,,,,,496581000000.0
Các công cụ tài chính phải sinh và các công nợ tài chínhkhác,Tài sản > Các công cụ tài chính phải sinh và các công nợ tài chínhkhác,Các công cụ tài chính phải sinh và các công nợ tài chínhkhác,1.187.607.750.000,921.407.539.707,-,(49.574.800.000),(1.988.637.514.800),70.802.974.907,1187607750000.0,921407539707.0,,-49574800000.0,-1988637514800.0,70802974907.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,67.096.129.356.564,3.994.611.715.159,-,-,-,71.090.741.071.723,67096129356564.0,3994611715159.0,,,,71090741071723.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,22.934.127.428.730,-,-,-,-,22.934.127.428.730,22934127428730.0,,,,,22934127428730.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",49.540.000.000,-,-,-,-,49.540.000.000,49540000000.0,,,,,49540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,594.784.444.540,-,-,-,-,594.784.444.540,594784444540.0,,,,,594784444540.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,2.813.390.551.342,678.624.912.708,-,27.613.427.651,9.037.368.000,3.528.666.259.701,2813390551342.0,678624912708.0,,27613427651.0,9037368000.0,3528666259701.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),110.514.379.018.897,8.438.230.735.959,2.374.290.000,35.807.308.452,53.527.273.537,119.044.318.626.845,110514379018897.0,8438230735959.0,2374290000.0,35807308452.0,53527273537.0,119044318626845.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,170.256.322.260,-,-,-,-,170.256.322.260,170256322260.0,,,,,170256322260.0
