row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,VND VND,USD VND,Vàng VND,EUR VND,Tiền tệ khác VND,Tổng VND,numeric__VND VND,numeric__USD VND,numeric__Vàng VND,numeric__EUR VND,numeric__Tiền tệ khác VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",546.974.127.600,93.780.369.099,1.601.977.500,33.584.736.130,4.305.905.863,680.247.116.192,546974127600.0,93780369099.0,1601977500.0,33584736130.0,4305905863.0,680247116192.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.148.495.695.389,126.873.102.779,-,-,-,1.275.368.798.168,1148495695389.0,126873102779.0,,,,1275368798168.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,7.106.195.492.229,4.324.540.968.493,-,9.817.585.838,2.005.916.457.355,13.446.470.503.915,7106195492229.0,4324540968493.0,,9817585838.0,2005916457355.0,13446470503915.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,3.014.985.277.771,(933.327.679.360),-,(39.792.750.000),(1.979.843.776.250),62.021.072.161,3014985277771.0,-933327679360.0,,-39792750000.0,-1979843776250.0,62021072161.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,51.545.521.199.998,4.770.830.313.940,-,-,-,56.316.351.513.938,51545521199998.0,4770830313940.0,,,,56316351513938.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,24.444.023.730.519,-,-,-,-,24.444.023.730.519,24444023730519.0,,,,,24444023730519.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",49.540.000.000,-,-,-,-,49.540.000.000,49540000000.0,,,,,49540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,529.287.598.940,-,-,-,-,529.287.598.940,529287598940.0,,,,,529287598940.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,3.554.880.222.454,291.413.425.079,-,12.839.419.683,20.187.762.649,3.879.320.829.865,3554880222454.0,291413425079.0,,12839419683.0,20187762649.0,3879320829865.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),91.939.903.344.900,8.674.110.500.030,1.601.977.500,16.448.991.651,50.566.349.617,100.682.631.163.698,91939903344900.0,8674110500030.0,1601977500.0,16448991651.0,50566349617.0,100682631163698.0
